target,rr,pass_rate,fail_mll_rate,score,median_end_pnl,avg_trades,windows,rev_q,cont_q,rev_adx_min,cont_adx_max,risk_per_r_usd,daily_profit_cap,pass_2024,fail_mll_2024,pnl_2024,pass_2025,fail_mll_2025,pnl_2025,pass_2026,fail_mll_2026,pnl_2026
y_1r2_180m,2.0,0.22664359861591696,0.16262975778546712,0.06401384083044984,1264.0,53.1522491349481,578,0.75,0.6,30,100,100.0,1400.0,0.2875,0.1375,1638.0,0.2594142259414226,0.1297071129707113,1495.0,0.0,0.4918032786885246,-305.0
y_1r4_240m,4.0,0.18166089965397925,0.14013840830449828,0.04152249134948097,608.5,38.655709342560556,578,0.75,0.75,30,30,100.0,1400.0,0.2625,0.05416666666666667,1513.0,0.17154811715481172,0.17573221757322174,513.0,0.01639344262295082,0.26229508196721313,-736.0
y_1r2_240m,2.0,0.17647058823529413,0.13667820069204153,0.039792387543252594,1136.5,45.06574394463668,578,0.75,0.6,30,30,100.0,1400.0,0.25833333333333336,0.029166666666666667,1660.5,0.1589958158995816,0.200836820083682,774.0,0.03278688524590164,0.39344262295081966,595.0
y_1r2_close60m,2.0,0.11937716262975778,0.08650519031141868,0.032871972318339104,429.0,39.00692041522491,578,0.75,0.6,30,30,100.0,1400.0,0.15,0.05416666666666667,971.0,0.09205020920502092,0.1506276150627615,116.0,0.0,0.01639344262295082,-251.0
y_1r2_120m,2.0,0.2370242214532872,0.20761245674740483,0.02941176470588236,1051.5,53.97404844290657,578,0.75,0.6,30,100,100.0,1400.0,0.2875,0.125,1508.0,0.28451882845188287,0.2217573221757322,1105.0,0.0,0.6065573770491803,-247.0
y_1r2_60m,2.0,0.1782006920415225,0.1643598615916955,0.013840830449827007,514.5,52.134948096885815,578,0.6,0.6,40,100,100.0,1400.0,0.25416666666666665,0.08333333333333333,1262.0,0.17573221757322174,0.22594142259414227,268.0,0.0,0.3442622950819672,-538.0
y_1r4_120m,4.0,0.23183391003460208,0.23529411764705882,-0.003460207612456745,307.0,33.61937716262976,578,0.75,0.75,30,30,100.0,1400.0,0.35,0.14166666666666666,1401.5,0.19246861924686193,0.3305439330543933,-32.0,0.0,0.21311475409836064,-384.0
y_1r4_180m,4.0,0.24394463667820068,0.2491349480968858,-0.005190311418685117,439.0,36.74221453287197,578,0.6,0.75,40,30,100.0,1400.0,0.325,0.225,1872.5,0.2175732217573222,0.29707112970711297,161.0,0.0,0.3114754098360656,-442.0
y_1r4_close60m,4.0,0.1245674740484429,0.18166089965397925,-0.057093425605536346,93.5,33.02595155709343,578,0.75,0.75,30,30,100.0,1400.0,0.225,0.15833333333333333,777.0,0.07112970711297072,0.2510460251046025,-90.0,0.01639344262295082,0.08196721311475409,-221.0
y_1r4_60m,4.0,0.1782006920415225,0.36678200692041524,-0.18858131487889274,-39.5,35.238754325259514,578,0.75,0.75,30,30,100.0,1400.0,0.23333333333333334,0.2708333333333333,1298.5,0.17573221757322174,0.41841004184100417,-399.0,0.0,0.32786885245901637,-633.0
