feature,importance
dist_d50_atr,264
dist_d200_atr,239
dist_to_ct_vwap_atr,238
signal_adx,237
dist_d100_atr,227
signal_ct_vwap_slope_20,206
ct_vwap_slope_20_atr,198
close_slope_5_atr,172
st_gap_atr,167
signal_atr,167
vwap_deviation_z_50,158
touch_distance_atr,156
close_slope_3_atr,155
wick_ratio,153
directional_close_pos,150
candle_body_atr,144
hour_utc,143
signal_rsi_7,141
cci_abs,137
bar_range_atr,136
signal_cci,106
signal_ct_vwap,103
signal_volume,101
st_slope_5_atr,97
signal_open,90
dow,77
signal_dema_200,57
pullback_band_atr,48
signal_dema_50,42
signal_high,35
signal_close,33
signal_low,28
signal_dema_100,23
signal_st,17
regime_abs_vwap_z_bucket,17
regime_high_vol_trend,9
dema_stack,9
session_cluster,3
regime_trend_stack,2
regime_adx_bucket,2
signal_st_direction,0
regime_atr_bucket,0
regime_range_bucket,0
