params_id,score,min_adx,pullback_band_atr,min_pullback_band_pts,use_dema100_trend_filter,min_risk_pts,max_risk_pts,st_buffer_pts,rr_target,max_hold_bars,2024_now_events,2024_now_trade_days,2024_now_events_per_day,2024_now_pnl_usd,2024_now_avg_trade,2024_now_win_rate,2024_now_max_drawdown,2024_now_long_events,2024_now_short_events,2026_events,2026_trade_days,2026_events_per_day,2026_pnl_usd,2026_avg_trade,2026_win_rate,2026_max_drawdown,2026_long_events,2026_short_events,2026_apr_may_events,2026_apr_may_trade_days,2026_apr_may_events_per_day,2026_apr_may_pnl_usd,2026_apr_may_avg_trade,2026_apr_may_win_rate,2026_apr_may_max_drawdown,2026_apr_may_long_events,2026_apr_may_short_events
51983aa906,-6746.986296865211,20.0,0.2,0.2,True,0.3,12.0,0.4,0.8,60,518,91,5.6923076923076925,-1818.0971205475405,-3.509840001057028,0.5463320463320464,-2215.451270285034,200,318,518,91,5.6923076923076925,-1818.0971205475405,-3.509840001057028,0.5463320463320464,-2215.451270285034,200,318,150,28,5.357142857142857,-441.83400176893497,-2.9455600117929,0.5333333333333333,-753.7238131717593,67,83
17f0b78547,-6855.6069120288985,12.0,0.2,0.3,True,0.3,8.0,0.4,1.0,30,863,93,9.279569892473118,-2697.0282561088497,-3.125177585294148,0.49710312862108924,-2904.3286842789753,389,474,863,93,9.279569892473118,-2697.0282561088497,-3.125177585294148,0.49710312862108924,-2904.3286842789753,389,474,247,30,8.233333333333333,-502.01657165539393,-2.032455755689854,0.5060728744939271,-819.5713036305383,117,130
34b63d2538,-7179.680144202768,20.0,0.1,0.3,True,0.3,12.0,0.4,1.15,30,416,91,4.571428571428571,-1438.5030323772119,-3.45793998167599,0.47836538461538464,-1826.5189547148925,171,245,416,91,4.571428571428571,-1438.5030323772119,-3.45793998167599,0.47836538461538464,-1826.5189547148925,171,245,135,28,4.821428571428571,-327.81287143888443,-2.4282434921398846,0.4740740740740741,-755.9218751019964,63,72
411fa60f58,-7209.3766273354995,20.0,0.3,0.2,True,0.3,6.0,0.8,1.15,60,586,90,6.511111111111111,-2172.043905063866,-3.706559564955403,0.45563139931740615,-2411.1359154933343,235,351,586,90,6.511111111111111,-2172.043905063866,-3.706559564955403,0.45563139931740615,-2411.1359154933343,235,351,179,29,6.172413793103448,-575.3082275632851,-3.214012444487626,0.44692737430167595,-772.857310355084,83,96
58b7bd2e5d,-7301.103649974933,20.0,0.1,0.2,True,0.4,8.0,0.4,0.8,60,356,89,4.0,-726.06502623044,-2.0395085006473033,0.5561797752808989,-966.8294185468875,143,213,356,89,4.0,-726.06502623044,-2.0395085006473033,0.5561797752808989,-966.8294185468875,143,213,112,27,4.148148148148148,-468.9061852318599,-4.186662368141606,0.5267857142857143,-550.7600926429059,54,58
fe4e11d5a6,-7369.048116568607,20.0,0.1,0.2,True,0.3,12.0,0.4,1.0,60,380,90,4.222222222222222,-1429.4111678366344,-3.7616083364121957,0.5157894736842106,-1868.7940196160862,154,226,380,90,4.222222222222222,-1429.4111678366344,-3.7616083364121957,0.5157894736842106,-1868.7940196160862,154,226,116,27,4.296296296296297,-233.6308210968201,-2.014058802558794,0.5086206896551724,-647.5500344823295,55,61
c77e23c911,-7383.404786748239,16.0,0.2,0.2,True,0.3,8.0,0.8,1.0,30,706,93,7.591397849462366,-2363.357030041816,-3.347531204025235,0.49291784702549574,-2482.237090745362,302,404,706,93,7.591397849462366,-2363.357030041816,-3.347531204025235,0.49291784702549574,-2482.237090745362,302,404,203,30,6.766666666666667,-658.4192874508686,-3.243444765767826,0.4827586206896552,-801.6114082817237,92,111
07d144bc17,-7541.812366325066,20.0,0.1,0.3,True,0.4,6.0,0.8,1.15,60,354,88,4.0227272727272725,-657.6021905803149,-1.8576333067240534,0.4745762711864407,-759.1724634284345,145,209,354,88,4.0227272727272725,-657.6021905803149,-1.8576333067240534,0.4745762711864407,-759.1724634284345,145,209,120,27,4.444444444444445,-571.4770035824486,-4.7623083631870715,0.425,-641.5402333418537,59,61
ed2145ef63,-7598.947476508553,12.0,0.1,0.3,True,0.4,8.0,0.8,1.15,30,673,93,7.236559139784946,-1967.0139772942478,-2.922754795385212,0.4710252600297177,-2102.2622905701187,305,368,673,93,7.236559139784946,-1967.0139772942478,-2.922754795385212,0.4710252600297177,-2102.2622905701187,305,368,213,30,7.1,-894.8355800321781,-4.201106009540742,0.4460093896713615,-1024.3242286301263,104,109
ca510e58f5,-7741.745380357879,16.0,0.1,0.3,True,0.3,6.0,0.8,0.8,30,518,92,5.630434782608695,-1711.0587500917281,-3.303202220254301,0.525096525096525,-1746.3866985319212,226,292,518,92,5.630434782608695,-1711.0587500917281,-3.303202220254301,0.525096525096525,-1746.3866985319212,226,292,166,30,5.533333333333333,-743.469114858535,-4.478729607581537,0.4879518072289157,-772.5381449482669,78,88
7529937f25,-7853.959514863826,12.0,0.2,0.2,True,0.4,8.0,0.4,0.8,30,855,93,9.193548387096774,-2934.301990195686,-3.431932152275656,0.5391812865497077,-2977.495075151703,383,472,855,93,9.193548387096774,-2934.301990195686,-3.431932152275656,0.5391812865497077,-2977.495075151703,383,472,245,30,8.166666666666666,-671.4447590757469,-2.7405908533703953,0.5387755102040817,-769.0995606705153,115,130
a6d9c769f4,-7870.35932305368,12.0,0.2,0.3,True,0.4,8.0,0.6,1.15,60,838,92,9.108695652173912,-3151.1167483232766,-3.760282515898898,0.46539379474940334,-3383.5924827362433,374,464,838,92,9.108695652173912,-3151.1167483232766,-3.760282515898898,0.46539379474940334,-3383.5924827362433,374,464,237,29,8.172413793103448,-535.5600913311781,-2.2597472208066587,0.4767932489451477,-763.8969094453635,113,124
a889c13e69,-8063.33516989982,16.0,0.1,0.3,True,0.3,12.0,0.8,1.15,60,587,92,6.380434782608695,-1813.2386679657438,-3.0889926200438564,0.4735945485519591,-2402.750514065395,255,332,587,92,6.380434782608695,-1813.2386679657438,-3.0889926200438564,0.4735945485519591,-2402.750514065395,255,332,170,29,5.862068965517241,-870.2578373957576,-5.11916374938681,0.4235294117647059,-1200.271527706761,79,91
04be656ec2,-8166.935468945681,20.0,0.3,0.3,True,0.3,12.0,0.4,1.0,60,708,92,7.695652173913044,-3381.744222343005,-4.7764748903149785,0.4887005649717514,-3642.880160951641,281,427,708,92,7.695652173913044,-3381.744222343005,-4.7764748903149785,0.4887005649717514,-3642.880160951641,281,427,202,29,6.9655172413793105,-348.9061121627933,-1.7272579810039272,0.504950495049505,-937.965368362349,91,111
f83aa28a9f,-8386.91913675201,16.0,0.3,0.2,True,0.4,6.0,0.4,1.15,30,877,92,9.532608695652174,-3462.335224841774,-3.947930701073859,0.45610034207525657,-4019.7892861669225,384,493,877,92,9.532608695652174,-3462.335224841774,-3.947930701073859,0.45610034207525657,-4019.7892861669225,384,493,246,30,8.2,-518.4382682863445,-2.1074726353103435,0.4715447154471545,-1050.8899468507764,112,134
41ff16800a,-8386.91913675201,16.0,0.3,0.3,True,0.4,6.0,0.4,1.15,30,877,92,9.532608695652174,-3462.335224841774,-3.947930701073859,0.45610034207525657,-4019.7892861669225,384,493,877,92,9.532608695652174,-3462.335224841774,-3.947930701073859,0.45610034207525657,-4019.7892861669225,384,493,246,30,8.2,-518.4382682863445,-2.1074726353103435,0.4715447154471545,-1050.8899468507764,112,134
7785892fac,-8617.744562471298,16.0,0.3,0.3,True,0.3,8.0,0.6,1.15,60,946,92,10.282608695652174,-3936.2769156946692,-4.160969255491194,0.4587737843551797,-4348.931945633559,409,537,946,92,10.282608695652174,-3936.2769156946692,-4.160969255491194,0.4587737843551797,-4348.931945633559,409,537,253,29,8.724137931034482,-421.8843424875111,-1.6675270454051823,0.4743083003952569,-882.0219782348711,117,136
f80df6ef79,-8818.444910735521,12.0,0.2,0.3,True,0.3,8.0,0.8,1.0,60,834,92,9.065217391304348,-3338.2417994986927,-4.002688008991238,0.4844124700239808,-3487.3769707656797,372,462,834,92,9.065217391304348,-3338.2417994986927,-4.002688008991238,0.4844124700239808,-3487.3769707656797,372,462,238,29,8.206896551724139,-701.2603012801055,-2.9464718541180903,0.48739495798319327,-854.1911120295731,114,124
a87cfb31f1,-8854.280806173789,20.0,0.3,0.3,True,0.3,12.0,0.6,1.15,60,707,92,7.684782608695652,-3681.5739103366195,-5.207318119288005,0.45685997171145687,-4000.222114284645,280,427,707,92,7.684782608695652,-3681.5739103366195,-5.207318119288005,0.45685997171145687,-4000.222114284645,280,427,202,29,6.9655172413793105,-369.17297144822305,-1.8275889675654606,0.4752475247524752,-1004.8315746039084,91,111
555ab5fc1e,-8954.653065410042,16.0,0.3,0.3,True,0.4,8.0,0.4,0.8,30,971,93,10.440860215053764,-3449.113609204799,-3.552125241199587,0.5365602471678682,-3682.9084097363743,422,549,971,93,10.440860215053764,-3449.113609204799,-3.552125241199587,0.5365602471678682,-3682.9084097363743,422,549,261,30,8.7,-777.0500839814691,-2.977203386902181,0.5287356321839081,-1129.06111411627,119,142
1f79d16d64,-8969.99886747012,12.0,0.2,0.3,True,0.3,8.0,0.6,0.8,60,839,92,9.119565217391305,-3657.7421900980626,-4.359645041833209,0.5232419547079857,-3704.935275054078,375,464,839,92,9.119565217391305,-3657.7421900980626,-4.359645041833209,0.5232419547079857,-3704.935275054078,375,464,238,29,8.206896551724139,-605.087739454927,-2.5423854598946516,0.5336134453781513,-708.7425410497353,114,124
8645ffd5ca,-9011.922978024551,20.0,0.1,0.3,True,0.3,8.0,0.8,0.8,60,381,88,4.329545454545454,-1148.6449962345355,-3.0148162630827704,0.5380577427821522,-1283.8573854871258,155,226,381,88,4.329545454545454,-1148.6449962345355,-3.0148162630827704,0.5380577427821522,-1283.8573854871258,155,226,126,27,4.666666666666667,-706.3006456596036,-5.605560679838123,0.49206349206349204,-774.4053673242789,61,65
e6ccc368b4,-9225.08093030069,16.0,0.2,0.3,True,0.3,12.0,0.8,1.15,30,768,93,8.258064516129032,-2905.3763428150933,-3.783042113040486,0.4674479166666667,-3370.6541961023904,330,438,768,93,8.258064516129032,-2905.3763428150933,-3.783042113040486,0.4674479166666667,-3370.6541961023904,330,438,210,30,7.0,-869.137279551424,-4.138748950244876,0.44285714285714284,-1269.9076576510054,95,115
fb760840fb,-9230.311185364619,12.0,0.3,0.3,True,0.3,8.0,0.4,1.0,60,1150,92,12.5,-4334.854310276902,-3.7694385306755667,0.4895652173913044,-4700.999008717871,518,632,1150,92,12.5,-4334.854310276902,-3.7694385306755667,0.4895652173913044,-4700.999008717871,518,632,312,29,10.758620689655173,-569.3273501216524,-1.8247671478258092,0.5064102564102564,-1013.877363036589,151,161
e0d3ef8040,-9369.027660150756,12.0,0.2,0.2,True,0.4,12.0,0.8,1.0,60,890,92,9.673913043478262,-3561.7735270694125,-4.001992727044284,0.4898876404494382,-3950.123176083012,397,493,890,92,9.673913043478262,-3561.7735270694125,-4.001992727044284,0.4898876404494382,-3950.123176083012,397,493,244,29,8.413793103448276,-752.3691501046221,-3.0834801233795988,0.48770491803278687,-1153.13115831955,116,128
7e5f8e8e80,-9973.203042231171,12.0,0.3,0.3,True,0.3,12.0,0.4,0.8,60,1219,92,13.25,-4377.63343378346,-3.5911677061390153,0.538966365873667,-4462.6851745730255,549,670,1219,92,13.25,-4377.63343378346,-3.5911677061390153,0.538966365873667,-4462.6851745730255,549,670,325,29,11.206896551724139,-835.8292158556724,-2.571782202632838,0.5384615384615384,-1226.0459845455737,154,171
1a8a50c44b,-10187.811472213201,12.0,0.3,0.2,True,0.3,12.0,0.6,1.15,60,1217,92,13.228260869565217,-4970.144650653348,-4.083931512451396,0.4658997534921939,-5273.253823554806,549,668,1217,92,13.228260869565217,-4970.144650653348,-4.083931512451396,0.4658997534921939,-5273.253823554806,549,668,324,29,11.172413793103448,-579.3865257917496,-1.7882300178757704,0.48148148148148145,-1192.8516766589491,155,169
697b9bd5ce,-10377.049652957314,16.0,0.3,0.3,True,0.3,12.0,0.4,0.8,60,1014,92,11.021739130434783,-4143.708845735158,-4.08649787547846,0.5315581854043393,-4305.7807420224835,436,578,1014,92,11.021739130434783,-4143.708845735158,-4.08649787547846,0.5315581854043393,-4305.7807420224835,436,578,266,29,9.172413793103448,-861.8015934808353,-3.2398556145896067,0.5225563909774437,-1387.6850785412435,119,147
727f1bda7e,-11715.936769536966,12.0,0.3,0.3,True,0.3,12.0,0.8,1.15,30,1235,93,13.279569892473118,-5257.0495792908305,-4.256720307118082,0.46558704453441296,-5433.077951428571,561,674,1235,93,13.279569892473118,-5257.0495792908305,-4.256720307118082,0.46558704453441296,-5433.077951428571,561,674,332,30,11.066666666666666,-939.9722711536194,-2.831241780583191,0.46686746987951805,-1394.4404979311912,158,174
3dd952f3a8,-12371.303754606044,16.0,0.3,0.3,True,0.3,12.0,0.8,1.15,60,1009,92,10.967391304347826,-5157.272766858527,-5.11127132493412,0.45490584737363726,-5386.174904346463,436,573,1009,92,10.967391304347826,-5157.272766858527,-5.11127132493412,0.45490584737363726,-5386.174904346463,436,573,264,29,9.10344827586207,-924.2066410366747,-3.5007827311995254,0.45454545454545453,-1481.530057521306,120,144
