params_id,score,min_adx,pullback_band_atr,min_pullback_band_pts,use_dema100_trend_filter,min_risk_pts,max_risk_pts,st_buffer_pts,rr_target,max_hold_bars,2024_now_events,2024_now_trade_days,2024_now_events_per_day,2024_now_pnl_usd,2024_now_avg_trade,2024_now_win_rate,2024_now_max_drawdown,2024_now_long_events,2024_now_short_events,2026_events,2026_trade_days,2026_events_per_day,2026_pnl_usd,2026_avg_trade,2026_win_rate,2026_max_drawdown,2026_long_events,2026_short_events,2026_apr_may_events,2026_apr_may_trade_days,2026_apr_may_events_per_day,2026_apr_may_pnl_usd,2026_apr_may_avg_trade,2026_apr_may_win_rate,2026_apr_may_max_drawdown,2026_apr_may_long_events,2026_apr_may_short_events
c4140ad4cc,-4625.62242901166,12.0,0.1,0.2,True,0.4,6.0,0.8,1.0,30,571,93,6.139784946236559,-1347.4150569883268,-2.3597461593490836,0.500875656742557,-1593.2740091119222,254,317,571,93,6.139784946236559,-1347.4150569883268,-2.3597461593490836,0.500875656742557,-1593.2740091119222,254,317,181,30,6.033333333333333,-377.0877409944328,-2.083357685052115,0.4972375690607735,-574.5634550289984,89,92
f96fd01f91,-5029.4159740755,20.0,0.1,0.3,True,0.4,6.0,0.4,1.15,30,364,89,4.089887640449438,-362.73826965159714,-0.996533707834058,0.48626373626373626,-788.4978348908444,149,215,364,89,4.089887640449438,-362.73826965159714,-0.996533707834058,0.48626373626373626,-788.4978348908444,149,215,124,28,4.428571428571429,-285.94779414693204,-2.3060305979591296,0.47580645161290325,-455.46487289356173,59,65
5f9675f119,-5625.757225597826,20.0,0.1,0.3,True,0.4,8.0,0.4,1.15,30,392,90,4.355555555555555,-310.29327104732533,-0.7915644669574626,0.4923469387755102,-892.447821713764,160,232,392,90,4.355555555555555,-310.29327104732533,-0.7915644669574626,0.4923469387755102,-892.447821713764,160,232,131,28,4.678571428571429,-483.1008291682079,-3.6877925890702894,0.4732824427480916,-664.3709503607549,62,69
db57c96b1c,-5691.981219397044,16.0,0.1,0.2,True,0.4,6.0,0.4,0.8,30,477,92,5.184782608695652,-1054.0375013469607,-2.2097222250460393,0.5471698113207547,-1246.586260150929,205,272,477,92,5.184782608695652,-1054.0375013469607,-2.2097222250460393,0.5471698113207547,-1246.586260150929,205,272,143,30,4.766666666666667,-428.3927672855718,-2.995753617381621,0.5174825174825175,-550.1284143749702,66,77
1db35c2d7f,-5890.91161460804,16.0,0.2,0.2,True,0.3,6.0,0.4,1.15,60,630,91,6.923076923076923,-1755.3932363081835,-2.78633847033045,0.4666666666666667,-2020.9568001801276,267,363,630,91,6.923076923076923,-1755.3932363081835,-2.78633847033045,0.4666666666666667,-2020.9568001801276,267,363,184,29,6.344827586206897,-499.6266974178834,-2.7153624859667578,0.45652173913043476,-770.1216466280047,83,101
fad034c5ab,-6173.11666505967,20.0,0.1,0.2,True,0.3,8.0,0.8,1.0,60,352,88,4.0,-520.01179728531,-1.4773062422878125,0.5113636363636364,-967.4925528754004,141,211,352,88,4.0,-520.01179728531,-1.4773062422878125,0.5113636363636364,-967.4925528754004,141,211,112,27,4.148148148148148,-358.04898090733957,-3.196865900958389,0.49107142857142855,-618.1560473838985,54,58
330506af45,-6316.344769067743,16.0,0.2,0.2,True,0.3,8.0,0.4,1.0,60,699,92,7.5978260869565215,-2049.9038093164545,-2.932623475416959,0.49642346208869814,-2292.861254962937,296,403,699,92,7.5978260869565215,-2049.9038093164545,-2.932623475416959,0.49642346208869814,-2292.861254962937,296,403,195,29,6.724137931034483,-511.1333859038285,-2.621196850788864,0.49230769230769234,-880.8615560001614,89,106
2d58ca72ee,-6499.133548202494,12.0,0.2,0.2,True,0.3,6.0,0.6,1.0,60,756,92,8.217391304347826,-2406.389868236485,-3.1830553812651923,0.4894179894179894,-2589.23963348035,336,420,756,92,8.217391304347826,-2406.389868236485,-3.1830553812651923,0.4894179894179894,-2589.23963348035,336,420,226,29,7.793103448275862,-480.3557826594571,-2.1254680648648545,0.49557522123893805,-667.001187385763,108,118
3156e41378,-6569.407167553514,20.0,0.3,0.3,True,0.3,8.0,0.4,1.15,60,659,92,7.163043478260869,-2341.706567405844,-3.5534242297509016,0.4628224582701062,-2758.9666287560385,263,396,659,92,7.163043478260869,-2341.706567405844,-3.5534242297509016,0.4628224582701062,-2758.9666287560385,263,396,194,29,6.689655172413793,-402.67300461063013,-2.0756340443846915,0.4793814432989691,-857.8954347090694,90,104
66533c334f,-6701.40296543654,20.0,0.1,0.3,True,0.4,6.0,0.4,0.8,30,364,89,4.089887640449438,-883.5800441131569,-2.4274177036075737,0.5412087912087912,-924.3292551393729,149,215,364,89,4.089887640449438,-883.5800441131569,-2.4274177036075737,0.5412087912087912,-924.3292551393729,149,215,124,28,4.428571428571429,-363.67581116835913,-2.932869444906122,0.5241935483870968,-383.88315941816444,59,65
