sessions,sides,dows,2024_now_events,2024_now_epd,2024_now_pnl,2024_now_avg,2024_now_wr,2026_events,2026_epd,2026_pnl,2026_avg,2026_wr,2026_apr_may_events,2026_apr_may_epd,2026_apr_may_pnl,2026_apr_may_avg,2026_apr_may_wr,score
0,Long,"1,3,4",695,2.932489451476793,-1860.997702248434,-2.6776945356092576,0.437410071942446,75,2.0833333333333335,527.1569638932324,7.0287595185764316,0.6,27,2.4545454545454546,282.3706296878513,10.45817146992042,0.6296296296296297,9694.178402673435
0,Long,"0,1,3,4",908,2.91025641025641,-2308.3305609359945,-2.5422142741585843,0.4460352422907489,100,2.1739130434782608,334.1215981524745,3.341215981524745,0.56,29,2.230769230769231,281.4642699295773,9.705664480330253,0.6206896551724138,7279.758233974339
"0,2",Long,"1,3,4",1458,4.072625698324022,-5546.4782787205695,-3.8041689154462066,0.43072702331961593,136,2.72,159.9109218074476,1.17581560152535,0.5367647058823529,45,2.6470588235294117,439.0728643488993,9.757174763308873,0.6444444444444445,6285.015400747908
"0,2",Long,"0,1,3,4",1965,4.189765458422174,-7399.829670018379,-3.7658166259635517,0.4366412213740458,187,2.876923076923077,-350.2323457524154,-1.8729002446653231,0.5026737967914439,54,2.5714285714285716,599.1923504035249,11.096154637102313,0.6481481481481481,5160.183376071366
0,"Long,Short","1,3,4",1413,4.694352159468439,-2860.011408859435,-2.024070353049848,0.462137296532201,182,3.5686274509803924,583.3664376838681,3.2053100971641104,0.5274725274725275,55,3.6666666666666665,249.30509729449733,4.532819950809042,0.5454545454545454,4826.389107612191
0,Long,"0,1,2,3,4",1103,2.9026315789473682,-3383.89387705062,-3.067900160517335,0.43608340888485947,121,2.0166666666666666,-15.652200701441934,-0.12935703059042922,0.5289256198347108,34,1.8888888888888888,271.66477119957733,7.990140329399333,0.6176470588235294,4322.236605502376
0,Long,"0,1,2,3,4,5,6",1103,2.9026315789473682,-3383.89387705062,-3.067900160517335,0.43608340888485947,121,2.0166666666666666,-15.652200701441934,-0.12935703059042922,0.5289256198347108,34,1.8888888888888888,271.66477119957733,7.990140329399333,0.6176470588235294,4322.236605502376
0,Long,"0,1,2,3,4",1103,2.9026315789473682,-3383.89387705062,-3.067900160517335,0.43608340888485947,121,2.0166666666666666,-15.652200701441934,-0.12935703059042922,0.5289256198347108,34,1.8888888888888888,271.66477119957733,7.990140329399333,0.6176470588235294,4322.236605502376
0,"Long,Short","0,1,3,4",1886,4.715,-3637.521071326048,-1.928696220215296,0.4740190880169671,233,3.6984126984126986,521.5011476975849,2.2382023506334114,0.5278969957081545,63,3.7058823529411766,249.44851118530536,3.9595001775445295,0.5396825396825397,3994.525178564513
2,Long,"0,1,3,4",1057,2.584352078239609,-5091.499109082384,-4.816933878034422,0.42857142857142855,87,1.8125,-684.3539439048902,-7.866137286263106,0.4367816091954023,25,1.6666666666666667,317.72808047394756,12.709123218957902,0.68,2213.731143153429
"0,2","Long,Short","1,3,4",3116,7.712871287128713,-10142.22406458724,-3.254885771690385,0.443196405648267,335,5.677966101694915,-207.15697125862857,-0.6183790186824734,0.49850746268656715,100,5.2631578947368425,360.26656705270034,3.6026656705270033,0.54,1825.386205242687
"0,2","Long,Short","0,1,3,4",4163,7.944656488549619,-13904.1038463191,-3.3399240562861157,0.44727360076867645,438,5.688311688311688,-792.7447649479705,-1.8099195546757316,0.4908675799086758,121,5.041666666666667,403.1461355508154,3.331786244221615,0.5289256198347108,572.9077831511943
0,Short,"0,1,3,4",978,2.919402985074627,-1329.190510390053,-1.3590905014213222,0.5,133,2.7142857142857144,187.37954954511054,1.4088687935722597,0.5037593984962406,34,2.2666666666666666,-32.015758744271935,-0.9416399630668216,0.47058823529411764,372.97032668142157
0,"Long,Short","0,1,2,3,4",2320,4.696356275303644,-5464.602174132555,-2.35543197160886,0.46120689655172414,291,3.5925925925925926,-17.766160082737827,-0.0610520965042537,0.5017182130584192,78,3.391304347826087,50.64579658435045,0.6493050844147493,0.48717948717948717,352.3290287490357
0,"Long,Short","0,1,2,3,4",2320,4.696356275303644,-5464.602174132555,-2.35543197160886,0.46120689655172414,291,3.5925925925925926,-17.766160082737827,-0.0610520965042537,0.5017182130584192,78,3.391304347826087,50.64579658435045,0.6493050844147493,0.48717948717948717,352.3290287490357
0,"Long,Short","0,1,2,3,4,5,6",2320,4.696356275303644,-5464.602174132555,-2.35543197160886,0.46120689655172414,291,3.5925925925925926,-17.766160082737827,-0.0610520965042537,0.5017182130584192,78,3.391304347826087,50.64579658435045,0.6493050844147493,0.48717948717948717,352.3290287490357
"0,1,2",Long,"1,3,4",2194,5.882037533512064,-8891.679077842684,-4.052725195005781,0.43163172288058343,204,3.849056603773585,-440.2287848934602,-2.1579842396738247,0.4803921568627451,67,3.9411764705882355,185.47246871781132,2.7682458017583778,0.5522388059701493,143.11069922553338
"0,1,2",Long,"0,1,3,4",2934,5.963414634146342,-11705.599913280328,-3.9896386889162674,0.4331970006816633,279,3.9857142857142858,-1061.4315569580115,-3.8044141826452025,0.46953405017921146,81,3.6818181818181817,393.34094268852874,4.856061020846034,0.5679012345679012,54.403276175197334
"0,1",Long,"1,3,4",1431,4.471875,-5206.198501370551,-3.6381540890080717,0.43535988819007687,143,2.9183673469387754,-72.98274280767527,-0.510368830822904,0.48951048951048953,49,3.2666666666666666,28.77023405676328,0.5871476338114955,0.5102040816326531,8.56200977176536
"0,2",Long,"0,1,2,3,4,5,6",2501,4.530797101449275,-10227.112398967747,-4.089209275876748,0.43502598960415834,251,3.1375,-1359.3051744250718,-5.415558463844907,0.46215139442231074,72,2.6666666666666665,472.14587578203714,6.557581608083849,0.6111111111111112,-80.07478863254528
"0,2",Long,"0,1,2,3,4",2437,4.430909090909091,-10043.607111168043,-4.121299594242118,0.4329093147312269,249,3.151898734177215,-1317.4858996462444,-5.291108030707809,0.46184738955823296,71,2.730769230769231,452.257283499478,6.369820894358845,0.6056338028169014,-99.7435425715098
"0,2",Long,"0,1,2,3,4",2437,4.430909090909091,-10043.607111168043,-4.121299594242118,0.4329093147312269,249,3.151898734177215,-1317.4858996462444,-5.291108030707809,0.46184738955823296,71,2.730769230769231,452.257283499478,6.369820894358845,0.6056338028169014,-99.7435425715098
0,Short,"1,3,4",718,2.8835341365461846,-999.0137066110011,-1.3913839924944305,0.4860724233983287,107,2.6097560975609757,56.209473790635755,0.5253221849592127,0.4766355140186916,28,2.1538461538461537,-33.06553239335399,-1.1809118711912139,0.4642857142857143,-321.1836679153958
"0,1",Long,"0,1,3,4",1877,4.42688679245283,-6614.100804197944,-3.523761749705884,0.4358018114011721,192,3.096774193548387,-377.07761305312124,-1.9639459013183398,0.484375,56,3.111111111111111,75.61286221458121,1.350229682403236,0.5178571428571429,-570.5164291888013
0,"Long,Short","0,1,2,3",1824,4.6177215189873415,-3796.886739263136,-2.081626501789,0.46655701754385964,219,3.421875,-193.5061945645093,-0.8835899295183073,0.4931506849315068,54,2.8421052631578947,-26.406485191085217,-0.4890089850200966,0.4444444444444444,-919.4153796203391
2,"Long,Short","1,3,4",1703,4.366666666666666,-7282.212655727806,-4.27610842966988,0.42748091603053434,153,2.9423076923076925,-790.5234089424966,-5.166819666290828,0.46405228758169936,45,3.0,110.96146975820308,2.4658104390711797,0.5333333333333333,-1974.5858179150164
"0,2",Short,"1,3,4",1658,4.493224932249323,-4595.745785866672,-2.7718611494973895,0.45416164053075997,199,3.9019607843137254,-367.06789306607595,-1.8445622767139496,0.4723618090452261,55,3.6666666666666665,-78.806297296199,-1.4328417690218,0.45454545454545453,-2123.979361878249
"0,2",Long,"0,1,2,3",2002,4.314655172413793,-8172.092764781205,-4.08196441797263,0.43756243756243757,200,2.898550724637681,-1365.7640941453144,-6.828820470726572,0.45,53,2.12,237.55651671948476,4.482198428669524,0.5849056603773585,-2182.7403400946114
"0,1","Long,Short","0,1,3,4",3804,8.21598272138229,-12493.048556615033,-3.284187317722143,0.44348054679284965,426,5.916666666666667,-825.4296802700923,-1.9376283574415312,0.48826291079812206,112,5.333333333333333,-70.326250474888,-0.6279129506686428,0.5089285714285714,-2213.6897100375113
"0,1","Long,Short","1,3,4",2839,8.205202312138729,-9425.206702366091,-3.3199037345424767,0.4431137724550898,323,5.872727272727273,-582.1178527274311,-1.8022224542644927,0.48297213622291024,95,5.588235294117647,-136.89115735537854,-1.4409595511092477,0.49473684210526314,-2409.045591447369
"0,2","Long,Short","0,1,2,3,4,5,6",5325,8.934563758389261,-18309.24951497865,-3.438356716427915,0.4446948356807512,582,6.395604395604396,-1667.4261153491714,-2.864993325342219,0.4725085910652921,165,5.892857142857143,74.29838758697812,0.4502932581028977,0.49696969696969695,-2763.3285675883644
0,Short,"0,1,2,3,4,5,6",1217,2.925480769230769,-2080.7082970819347,-1.7097027913573826,0.48397699260476584,170,2.6984126984126986,-2.1139593812959276,-0.012435055184093692,0.4823529411764706,44,2.3157894736842106,-221.0189746152269,-5.0231585139824295,0.38636363636363635,-2851.4392058873977
0,Short,"0,1,2,3,4",1217,2.925480769230769,-2080.7082970819347,-1.7097027913573826,0.48397699260476584,170,2.6984126984126986,-2.1139593812959276,-0.012435055184093692,0.4823529411764706,44,2.3157894736842106,-221.0189746152269,-5.0231585139824295,0.38636363636363635,-2851.4392058873977
0,Short,"0,1,2,3,4",1217,2.925480769230769,-2080.7082970819347,-1.7097027913573826,0.48397699260476584,170,2.6984126984126986,-2.1139593812959276,-0.012435055184093692,0.4823529411764706,44,2.3157894736842106,-221.0189746152269,-5.0231585139824295,0.38636363636363635,-2851.4392058873977
"0,2","Long,Short","0,1,2,3,4",5219,8.756711409395972,-17986.585708128274,-3.4463662977827694,0.4445296033722935,576,6.329670329670329,-1694.9994690787282,-2.9427074115950145,0.4704861111111111,161,5.75,56.19183294989076,0.3490175959620544,0.4906832298136646,-2907.556627470372
"0,2","Long,Short","0,1,2,3,4",5219,8.756711409395972,-17986.585708128274,-3.4463662977827694,0.4445296033722935,576,6.329670329670329,-1694.9994690787282,-2.9427074115950145,0.4704861111111111,161,5.75,56.19183294989076,0.3490175959620544,0.4906832298136646,-2907.556627470372
"0,1",Short,"0,1,3,4",1927,4.502336448598131,-5878.947752417089,-3.0508291398116705,0.4509600415153088,234,3.7142857142857144,-448.3520672169709,-1.9160344752862004,0.49145299145299143,56,3.2941176470588234,-145.93911268946923,-2.6060555837405217,0.5,-2928.305765764536
"0,1,2","Long,Short","1,3,4",4542,11.214814814814815,-16707.419358093895,-3.6784278639572645,0.4372523117569353,476,8.067796610169491,-1372.6412616699276,-2.8837001295586715,0.47689075630252103,140,7.368421052631579,-25.929687597175473,-0.1852120542655391,0.5071428571428571,-2945.991884977796
2,"Long,Short","0,1,3,4",2277,4.5089108910891085,-10266.582774993052,-4.50881983969831,0.4251207729468599,205,3.014705882352941,-1314.2459126455553,-6.410955671441734,0.44878048780487806,58,3.0526315789473686,153.69762436551005,2.649959040784656,0.5172413793103449,-2964.1977914258296
"0,2",Short,"0,1,3,4",2198,4.550724637681159,-6504.274176300721,-2.9591784241586536,0.456778889899909,251,3.746268656716418,-442.5124191955548,-1.762997686038067,0.4820717131474104,67,3.35,-196.04621485270948,-2.926062908249395,0.43283582089552236,-3081.11203861835
0,Short,"0,1,2,3",950,2.86144578313253,-1265.584756324809,-1.3321944803419041,0.48947368421052634,129,2.6875,-43.15807372828297,-0.334558711071961,0.4728682170542636,35,2.3333333333333335,-185.53782677066775,-5.301080764876222,0.34285714285714286,-3139.2845518583763
