feature,gain,split
st_gap_ratio,1985.1918952465057,194
vwap_deviation_z_50,1424.676111459732,174
entry_adx,954.5440807342529,142
volatility_zscore,932.6287989616394,124
dist_to_ct_vwap_atr,882.1130478382111,122
cci_abs,871.539128780365,128
efficiency_ratio,725.3867065906525,108
ct_vwap_slope_20_atr,677.5340895652771,105
session_cluster,304.83675146102905,46
vwap_side_aligned,30.645430326461792,5
