risk_cap_pts,window,dropped_trades,drop_rate,trades,win_rate,avg_pnl,total_pnl,max_dd,avg_risk_pts
4.33,all,589,0.4004078857919782,882,0.5,-2.774708174261404,-2447.2926096985584,-3280.685164609342,2.4835022477572597
4.33,2026,72,0.9473684210526315,4,0.5,-5.148539263034527,-20.594157052138108,-39.26477387480554,3.314361084154143
4.33,latest_30d,18,0.9473684210526315,1,0.0,-37.319526334349796,-37.319526334349796,-37.319526334351394,3.5579526334349794
4.33,apr_may_2026,23,0.9583333333333334,1,0.0,-37.319526334349796,-37.319526334349796,-37.319526334351394,3.5579526334349794
4.33,oot_200d,109,0.8650793650793651,17,0.5882352941176471,1.5198624907878335,25.83766234339317,-93.11261930214823,3.427376239130541
5.81,all,441,0.29979605710401086,1030,0.48446601941747575,-4.212888121822759,-4339.274765477442,-5085.234441104112,2.8375593693612773
5.81,2026,68,0.8947368421052632,8,0.5,-5.399672823380334,-43.197382587042675,-113.57940239094751,4.214125282664327
5.81,latest_30d,16,0.8421052631578947,3,0.6666666666666666,17.885550173896043,53.65665052168813,-37.319526334351394,4.33452343967959
5.81,apr_may_2026,21,0.875,3,0.6666666666666666,17.885550173896043,53.65665052168813,-37.319526334351394,4.33452343967959
5.81,oot_200d,97,0.7698412698412699,29,0.6551724137931034,9.849383189081577,285.63211248336574,-142.96723184797156,4.046397855213117
6.0,all,434,0.29503738953093134,1037,0.4840887174541948,-4.253921976294341,-4411.317089417232,-5153.247308707483,2.8585878404601957
6.0,2026,67,0.881578947368421,9,0.5555555555555556,1.5566674701745211,14.01000723157069,-113.57940239094751,4.400860138130661
6.0,latest_30d,16,0.8421052631578947,3,0.6666666666666666,17.885550173896043,53.65665052168813,-37.319526334351394,4.33452343967959
6.0,apr_may_2026,21,0.875,3,0.6666666666666666,17.885550173896043,53.65665052168813,-37.319526334351394,4.33452343967959
6.0,oot_200d,96,0.7619047619047619,30,0.6666666666666666,11.42798341006597,342.8395023019791,-113.57940239094751,4.108009226101391
8.0,all,326,0.22161794697484705,1145,0.4724890829694323,-5.896742317236755,-6751.769953236084,-7371.227793226084,3.2438635932904996
8.0,2026,48,0.631578947368421,28,0.5,-3.39657366074973,-95.10406250099244,-548.1614561912938,6.239158227982736
8.0,latest_30d,10,0.5263157894736842,9,0.7777777777777778,33.97692162762904,305.79229464866137,-80.00188196453382,6.101501236071474
8.0,apr_may_2026,14,0.5833333333333334,10,0.8,38.086894393948356,380.86894393948353,-80.00188196453382,6.259517605372548
8.0,oot_200d,68,0.5396825396825397,58,0.5689655172413793,3.15386559794717,182.92420468093587,-548.1614561912938,5.509275676009973
8.78,all,294,0.19986403806934058,1177,0.47323704333050126,-5.799373917735089,-6825.8631011742,-8041.604729747087,3.3845715832352954
8.78,2026,41,0.5394736842105263,35,0.5714285714285714,9.239575447790925,323.3851406726824,-465.81255312085705,6.703412013808208
8.78,latest_30d,8,0.42105263157894735,11,0.8181818181818182,42.93032884120933,472.23361725330267,-80.00188196453382,6.5368766713734
8.78,apr_may_2026,12,0.5,12,0.8333333333333334,45.60918887867707,547.3102665441248,-80.00188196453382,6.632275692849134
8.78,oot_200d,57,0.4523809523809524,69,0.6086956521739131,10.953214361120356,755.7717909173045,-465.81255312085705,5.987698350098724
10.0,all,260,0.17675050985723997,1211,0.47398843930635837,-5.632576570011442,-6821.050226283856,-8539.563225617792,3.550476880797451
10.0,2026,33,0.4342105263157895,43,0.6046511627906976,15.604173839304606,670.979475090098,-264.4031419832172,7.187974697200674
10.0,latest_30d,7,0.3684210526315789,12,0.8333333333333334,46.5527835462101,558.6334025545212,-80.00188196453382,6.726635159602438
10.0,apr_may_2026,10,0.4166666666666667,14,0.7857142857142857,38.563790179775985,539.8930625168638,-93.8169893284794,6.972070412654245
10.0,oot_200d,43,0.3412698412698413,83,0.6265060240963856,15.535154232638837,1289.4178013090234,-264.4031419832172,6.556807959058345
12.0,all,225,0.15295717199184228,1246,0.478330658105939,-4.689550032382907,-5843.179340349102,-8784.004698956764,3.755254348256888
12.0,2026,23,0.3026315789473684,53,0.660377358490566,29.124584383959636,1543.6029723498607,-302.17664026519196,7.926953388992517
12.0,latest_30d,5,0.2631578947368421,14,0.8571428571428571,56.1888506404412,786.6439089661768,-80.00188196453382,7.419190896885344
12.0,apr_may_2026,7,0.2916666666666667,17,0.8235294117647058,51.46942460113763,874.9802182193398,-93.8169893284794,7.743511843965119
12.0,oot_200d,28,0.2222222222222222,98,0.6530612244897959,23.00089190221567,2254.0874064171358,-302.17664026519196,7.213455834121843
15.0,all,198,0.13460231135282122,1273,0.4752553024351925,-5.503617030211612,-7006.104479459382,-9761.636344846731,3.9612740779062214
15.0,2026,12,0.15789473684210525,64,0.640625,25.76639477417977,1649.0492655475052,-514.6750369828005,8.810296688888926
15.0,latest_30d,5,0.2631578947368421,14,0.8571428571428571,56.1888506404412,786.6439089661768,-80.00188196453382,7.419190896885344
15.0,apr_may_2026,7,0.2916666666666667,17,0.8235294117647058,51.46942460113763,874.9802182193398,-93.8169893284794,7.743511843965119
15.0,oot_200d,14,0.1111111111111111,112,0.6339285714285714,19.621832023168736,2197.6451865948984,-514.6750369828005,7.981517987418771
19.84,all,146,0.09925220938137322,1325,0.46037735849056605,-10.894705200778056,-14435.484391030925,-16886.162677488224,4.515200637204035
19.84,2026,5,0.06578947368421052,71,0.6056338028169014,16.29267496486793,1156.779922505623,-520.4811216545568,9.584498989189406
19.84,latest_30d,1,0.05263157894736842,18,0.7222222222222222,25.121057174698745,452.1790291445774,-351.6975432218096,9.582629806653282
19.84,apr_may_2026,1,0.041666666666666664,23,0.6956521739130435,23.517183779940133,540.8952269386231,-351.6975432218096,10.114595926732482
19.84,oot_200d,7,0.05555555555555555,119,0.6134453781512605,14.330889441621986,1705.3758435530162,-520.4811216545568,8.492188695247554
20.0,all,140,0.09517335146159075,1331,0.459053343350864,-11.406019366412185,-15181.411776694618,-17830.34461695356,4.584888082308355
20.0,2026,4,0.05263157894736842,72,0.6111111111111112,18.81992328204562,1355.0344763072849,-514.6750369828005,9.729151161286305
20.0,latest_30d,1,0.05263157894736842,18,0.7222222222222222,25.121057174698745,452.1790291445774,-351.6975432218096,9.582629806653282
20.0,apr_may_2026,1,0.041666666666666664,23,0.6956521739130435,23.517183779940133,540.8952269386231,-351.6975432218096,10.114595926732482
20.0,oot_200d,6,0.047619047619047616,120,0.6166666666666667,15.863586644622314,1903.6303973546778,-514.6750369828005,8.588082584288543
25.0,all,76,0.05166553365057784,1395,0.43942652329749105,-19.80863750961834,-27633.049325917582,-30028.49975235822,5.38145717273008
25.0,2026,1,0.013157894736842105,75,0.6133333333333333,20.546967877118025,1541.022590783852,-592.1355429784671,10.231457266821367
25.0,latest_30d,0,0.0,19,0.6842105263157895,11.144264704627254,211.74102938791782,-592.1355429784671,10.33458613133816
25.0,apr_may_2026,0,0.0,24,0.6666666666666666,12.519051132581813,300.4572271819635,-592.1355429784671,10.687729428771377
25.0,oot_200d,1,0.007936507936507936,125,0.608,13.20118386829166,1650.1479835364573,-592.1355429784671,9.12823499474474
30.0,all,42,0.028552005438477225,1429,0.43037088873338,-24.785797143480234,-35418.90411803326,-37659.15328743584,5.894747078366787
30.0,2026,1,0.013157894736842105,75,0.6133333333333333,20.546967877118025,1541.022590783852,-592.1355429784671,10.231457266821367
30.0,latest_30d,0,0.0,19,0.6842105263157895,11.144264704627254,211.74102938791782,-592.1355429784671,10.33458613133816
30.0,apr_may_2026,0,0.0,24,0.6666666666666666,12.519051132581813,300.4572271819635,-592.1355429784671,10.687729428771377
30.0,oot_200d,1,0.007936507936507936,125,0.608,13.20118386829166,1650.1479835364573,-592.1355429784671,9.12823499474474
