risk_cap_pts,window,dropped_trades,drop_rate,trades,win_rate,avg_pnl,total_pnl,max_dd,avg_risk_pts
2.15,all,1103,0.7498300475866757,368,0.5516304347826086,0.01656283790142143,6.095124347723086,-359.0232871516855,1.7271913714723044
2.15,2026,76,1.0,0,,,0.0,0.0,
2.15,latest_30d,19,1.0,0,,,0.0,0.0,
2.15,apr_may_2026,24,1.0,0,,,0.0,0.0,
2.15,oot_200d,124,0.9841269841269841,2,1.0,17.605384615398872,35.210769230797744,0.0,1.934538461539887
2.83,all,882,0.5995921142080217,589,0.5449915110356537,0.018298688009291093,10.777927237472454,-780.9126803349936,1.9980583674454757
2.83,2026,76,1.0,0,,,0.0,0.0,
2.83,latest_30d,19,1.0,0,,,0.0,0.0,
2.83,apr_may_2026,24,1.0,0,,,0.0,0.0,
2.83,oot_200d,123,0.9761904761904762,3,1.0,20.14495014989106,60.43485044967318,0.0,2.188495014989106
3.39,all,735,0.49966009517335147,736,0.53125,-0.6088792125124104,-448.13510040913405,-1215.6583791531375,2.2172177541551865
3.39,2026,74,0.9736842105263158,2,1.0,27.995071578506906,55.99014315701381,0.0,2.9735071578506904
3.39,latest_30d,19,1.0,0,,,0.0,0.0,
3.39,apr_may_2026,24,1.0,0,,,0.0,0.0,
3.39,oot_200d,119,0.9444444444444444,7,0.8571428571428571,16.026055259092225,112.18238681364558,-35.46668801191845,2.7402251833926647
4.0,all,631,0.42895989123045547,840,0.5059523809523809,-2.343012378059455,-1968.1303975699425,-2857.4228730740215,2.3992224356229412
4.0,2026,72,0.9473684210526315,4,0.5,-5.148539263034527,-20.594157052138108,-39.26477387480554,3.314361084154143
4.0,latest_30d,18,0.9473684210526315,1,0.0,-37.319526334349796,-37.319526334349796,-37.319526334351394,3.5579526334349794
4.0,apr_may_2026,23,0.9583333333333334,1,0.0,-37.319526334349796,-37.319526334349796,-37.319526334351394,3.5579526334349794
4.0,oot_200d,112,0.8888888888888888,14,0.5714285714285714,-0.9004674054389901,-12.606543676145861,-93.11261930214823,3.2551381110999955
