window,risk_bucket,trades,win_rate,avg_pnl,total_pnl,max_dd,avg_risk_pts
all,0-2,293,0.5494880546075085,-0.1738042453252893,-50.92464388030976,-451.59814690113126,1.6381462259359287
all,2-4,547,0.4826325411334552,-3.5049465332534417,-1917.2057536896327,-2687.976959927073,2.8068921420914874
all,4-6,197,0.39086294416243655,-12.401962902778116,-2443.186691847289,-2879.6407160183007,4.8173032722535645
all,6-8,108,0.3611111111111111,-21.670859850174562,-2340.4528638188526,-2667.6651572366536,6.943224294077767
all,8-10,66,0.5,-1.0497011067844098,-69.28027304777105,-1347.8710889959257,8.869752853455932
all,10-15,62,0.5,-2.9847460189601045,-185.05425317552647,-1409.5443184956675,11.985070944014623
all,15-20,58,0.10344827586206896,-140.95357409026263,-8175.307297235233,-8352.908177141253,18.27214028237587
all,20-30,98,0.04081632653061224,-206.50502389121056,-20237.492341338635,-20423.480455815232,23.684770790139993
all,30-50,36,0.2222222222222222,-230.79172953215382,-8308.502263157538,-8621.894956201315,36.07882813488168
all,50+,6,0.5,-337.9896225804057,-2027.9377354824342,-2027.937735482432,65.19568240373133
2026,0-2,0,,,0.0,0.0,
2026,2-4,4,0.5,-5.148539263034527,-20.594157052138108,-39.26477387480554,3.314361084154143
2026,4-6,5,0.6,6.920832856741761,34.604164283708805,-113.57940239094751,5.270059381311876
2026,6-8,19,0.47368421052631576,-5.7428457753980595,-109.11406973256312,-508.514812901165,7.10993100738635
2026,8-10,15,0.8,51.072235839406034,766.0835375910905,-195.0402902729984,8.959098773074158
2026,10-15,21,0.7142857142857143,46.574751926543186,978.069790457407,-268.82558338353556,12.13219410044106
2026,15-20,8,0.375,-36.751848655027516,-294.0147892402201,-512.0657597276222,17.079986940465346
2026,20-30,3,0.6666666666666666,61.996038158855676,185.98811447656703,-240.43799975665752,22.286803799662874
2026,30-50,1,1.0,313.3926930437881,313.3926930437881,0.0,31.51326930437881
2026,50+,0,,,0.0,0.0,
latest_30d,0-2,0,,,0.0,0.0,
latest_30d,2-4,1,0.0,-37.319526334349796,-37.319526334349796,-37.319526334351394,3.5579526334349794
latest_30d,4-6,2,1.0,45.48808842801896,90.97617685603792,0.0,4.722808842801896
latest_30d,6-8,6,0.8333333333333334,42.022607354495534,252.1356441269732,-80.00188196453382,6.984990134267416
latest_30d,8-10,3,1.0,84.28036930195331,252.84110790585993,0.0,8.60203693019533
latest_30d,10-15,2,1.0,114.0052532058278,228.0105064116556,0.0,11.57452532058278
latest_30d,15-20,4,0.25,-83.61621995539986,-334.4648798215994,-512.0657597276222,17.154665990841067
latest_30d,20-30,1,0.0,-240.43799975665956,-240.43799975665956,-240.43799975665752,23.869799975665956
latest_30d,30-50,0,,,0.0,0.0,
latest_30d,50+,0,,,0.0,0.0,
apr_may_2026,0-2,0,,,0.0,0.0,
apr_may_2026,2-4,1,0.0,-37.319526334349796,-37.319526334349796,-37.319526334351394,3.5579526334349794
apr_may_2026,4-6,2,1.0,45.48808842801896,90.97617685603792,0.0,4.722808842801896
apr_may_2026,6-8,7,0.8571428571428571,46.74461334539934,327.21229341779537,-80.00188196453382,7.084515104955244
apr_may_2026,8-10,4,0.75,39.75602964434508,159.0241185773803,-93.8169893284794,8.753452430858488
apr_may_2026,10-15,3,1.0,111.695718567492,335.08715570247597,0.0,11.343571856749199
apr_may_2026,15-20,6,0.3333333333333333,-55.680831880119435,-334.0849912807166,-512.0657597276222,16.832667494573343
apr_may_2026,20-30,1,0.0,-240.43799975665956,-240.43799975665956,-240.43799975665752,23.869799975665956
apr_may_2026,30-50,0,,,0.0,0.0,
apr_may_2026,50+,0,,,0.0,0.0,
oot_200d,0-2,2,1.0,17.605384615398872,35.210769230797744,0.0,1.934538461539887
oot_200d,2-4,12,0.5,-3.9847760755786332,-47.8173129069436,-101.31146847737546,3.475238052693347
oot_200d,4-6,16,0.75,22.21537787363281,355.44604597812497,-113.57940239094751,4.854271451727612
oot_200d,6-8,28,0.4642857142857143,-5.7112606293229655,-159.91529762104304,-508.514812901165,7.01063258662631
oot_200d,8-10,25,0.76,44.259743865123504,1106.4935966280875,-195.0402902729984,8.987082855730568
oot_200d,10-15,29,0.6551724137931034,31.318185699512934,908.2273852858751,-360.1328072411634,12.059136344450335
oot_200d,15-20,8,0.375,-36.751848655027516,-294.0147892402201,-512.0657597276222,17.079986940465346
oot_200d,20-30,5,0.4,-50.6964827636441,-253.4824138182205,-439.4705282947907,22.091892845693472
oot_200d,30-50,1,1.0,313.3926930437881,313.3926930437881,0.0,31.51326930437881
oot_200d,50+,0,,,0.0,0.0,
