variant_id,label,rule,anchor_ts,trades,long_trades,short_trades,win_rate,pnl_usd,max_dd_usd,return_dd,profit_factor,avg_trade_usd,gross_profit_usd,gross_loss_usd,jan_may_2026_trades,jan_may_2026_pnl_usd,jan_may_2026_max_dd_usd,jan_may_2026_win_rate,march_2026_trades,march_2026_pnl_usd,march_2026_max_dd_usd,march_2026_win_rate,last_5d_trades,last_5d_pnl_usd,last_5d_max_dd_usd,last_10d_trades,last_10d_pnl_usd,last_10d_max_dd_usd,last_20d_trades,last_20d_pnl_usd,last_20d_max_dd_usd,last_30d_trades,last_30d_pnl_usd,last_30d_max_dd_usd,last_50d_trades,last_50d_pnl_usd,last_50d_max_dd_usd,last_100d_trades,last_100d_pnl_usd,last_100d_max_dd_usd,last_200d_trades,last_200d_pnl_usd,last_200d_max_dd_usd,pnl_delta_vs_baseline,dd_improvement_vs_baseline,march_pnl_delta_vs_baseline,march_dd_improvement_vs_baseline
long_only_no_st,"Long only, no ST",Baseline rule: first M1 close above OR high.,2026-05-28T01:53:00+00:00,1296,1296,0,0.5648148148148148,33091.07999999999,-12124.439999999999,2.7292872907944608,1.1175208199325852,25.53324074074073,314667.4,-281576.32,72,6096.359999999999,-4085.0999999999985,0.5972222222222222,15,-2633.0599999999995,-4085.0999999999995,0.4,1,100.76,0.0,5,895.06,-222.24,10,2347.62,-222.24,18,3460.0,-551.48,30,5385.26,-861.48,54,4035.0599999999995,-4085.1,94,5385.480000000003,-4561.46,0.0,0.0,0.0,0.0
long_only_st5_50,"Long only, ST5_50 bullish",Take long breakout only when ST5_50 is bullish/up at signal close.,2026-05-28T01:53:00+00:00,964,964,0,0.5684647302904564,28198.91999999999,-8026.66,3.5131574029546524,1.1414324607552522,29.251991701244805,227579.74,-199380.82,50,5842.719999999999,-1915.6399999999985,0.62,8,102.09999999999991,-1588.2,0.5,1,100.76,0.0,4,-83.46000000000002,-222.24,9,1369.1,-222.24,15,1918.1999999999998,-551.48,23,2714.620000000001,-1915.64,36,2988.5200000000004,-1915.64,67,4362.9800000000005,-4561.46,-4892.159999999996,4097.779999999999,2735.1599999999994,2496.8999999999996
long_short_no_st,"Long+Short, no ST",First M1 breakout above OR high or below OR low; direction follows breakout.,2026-05-28T01:53:00+00:00,1767,905,862,0.5302773061686474,26500.51999999999,-15294.199999999963,1.732716977677816,1.0611161414986652,14.997464629315218,460109.70000000007,-433609.17999999993,97,4071.739999999999,-3623.3999999999983,0.5773195876288659,20,-1451.48,-3105.02,0.5,2,-65.48,-166.24,7,1251.08,-321.72,13,360.39999999999986,-1635.96,21,839.2799999999997,-1635.96,35,-1584.180000000001,-3623.3999999999996,67,77.49999999999841,-3623.4000000000005,130,318.01999999999975,-6460.019999999996,-6590.559999999998,-3169.759999999964,1181.5799999999995,980.0799999999995
long_short_st5_50_aligned,"Long+Short, ST5_50 aligned",Long requires bullish ST5_50; short requires bearish ST5_50 at signal close.,2026-05-28T01:53:00+00:00,1251,667,584,0.5387689848121503,36800.23999999999,-9099.340000000007,4.044275738679944,1.130467852540806,29.416658673061544,318863.9,-282063.66,63,7328.220000000001,-4492.739999999994,0.6190476190476191,9,2335.88,-1028.72,0.7777777777777778,2,-65.48,-166.24,5,522.8,-321.72,10,-974.1400000000001,-1893.7,16,-1058.5400000000002,-1893.7,24,-1941.8800000000003,-4492.74,40,2858.8399999999992,-4492.739999999999,90,3303.88,-6267.559999999998,3709.1600000000035,3025.0999999999913,4968.94,3056.379999999999
