variant_id,label,short_filter,short_risk_usd,switch_long_risk_usd,switch_buffer_mode,short_entry_until,trades,win_rate,pnl_usd,max_dd_usd,return_dd,profit_factor,avg_trade_usd,long_first_trades,short_first_trades,switch_count,long_pnl_usd,short_pnl_usd,switch_long_pnl_usd,gross_profit_usd,gross_loss_usd,legs,leg_short_pnl_usd,leg_switch_long_pnl_usd,jan_may_2026_trades,jan_may_2026_pnl_usd,jan_may_2026_max_dd_usd,jan_may_2026_win_rate,march_2026_trades,march_2026_pnl_usd,march_2026_max_dd_usd,march_2026_win_rate,last_5d_trades,last_5d_pnl_usd,last_5d_max_dd_usd,last_10d_trades,last_10d_pnl_usd,last_10d_max_dd_usd,last_20d_trades,last_20d_pnl_usd,last_20d_max_dd_usd,last_30d_trades,last_30d_pnl_usd,last_30d_max_dd_usd,last_50d_trades,last_50d_pnl_usd,last_50d_max_dd_usd,last_100d_trades,last_100d_pnl_usd,last_100d_max_dd_usd,last_200d_trades,last_200d_pnl_usd,last_200d_max_dd_usd,short_filter_evaluations,short_filter_rejections,short_time_guard_rejections,short_filter_lookahead_violations,short_filter_max_lag_minutes,pnl_usd_delta_vs_baseline,max_dd_usd_delta_vs_baseline,march_2026_pnl_usd_delta_vs_baseline,march_2026_max_dd_usd_delta_vs_baseline,last_5d_pnl_delta_vs_baseline,last_5d_dd_delta_vs_baseline,last_10d_pnl_delta_vs_baseline,last_10d_dd_delta_vs_baseline,last_20d_pnl_delta_vs_baseline,last_20d_dd_delta_vs_baseline,last_30d_pnl_delta_vs_baseline,last_30d_dd_delta_vs_baseline,last_50d_pnl_delta_vs_baseline,last_50d_dd_delta_vs_baseline,last_100d_pnl_delta_vs_baseline,last_100d_dd_delta_vs_baseline,last_200d_pnl_delta_vs_baseline,last_200d_dd_delta_vs_baseline,p0_recent_score,beats_baseline_30d_pnl,beats_baseline_30d_dd,improves_march_pnl
long_only_no_st,"Long only, no ST",baseline,0.0,0.0,baseline,baseline,1296,0.5648148148148148,33091.07999999999,-12124.439999999999,2.7292872907944608,1.1175208199325852,25.53324074074073,1296,0,0,0.0,0.0,0.0,314667.4,-281576.32,0,0.0,0.0,72,6096.359999999999,-4085.0999999999985,0.5972222222222222,15,-2633.0599999999995,-4085.0999999999995,0.4,1,100.76,0.0,5,895.06,-222.24,10,2347.62,-222.24,18,3460.0,-551.48,30,5385.26,-861.48,54,4035.0599999999995,-4085.1,94,5385.480000000003,-4561.46,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2908.52,False,False,False
p0_none_sr250_lr500_buf0_tgnone,"P0 none, short $250, switch long $500, buffer 0, guard none",none,250.0,500.0,0,none,1615,0.5708978328173374,33723.73999999998,-10801.799999999996,3.122048177155659,1.1058881938400629,20.881572755417945,905,710,319,31368.83999999998,2354.899999999996,7458.299999999997,352208.16,-318484.42,1934,2354.899999999994,7458.299999999997,71,6023.219999999999,-4106.34,0.6338028169014085,14,-2875.0599999999995,-4106.339999999999,0.42857142857142855,1,100.76,0.0,3,1292.04,0.0,6,2424.34,0.0,13,3274.72,-551.48,26,3985.2999999999997,-1226.0000000000002,50,3370.3599999999997,-4106.34,95,4700.139999999999,-4561.46,869,0,0,0,,632.6599999999962,1322.640000000003,-242.0,-21.23999999999978,0.0,0.0,396.98,222.24,76.72000000000025,222.24,-185.2800000000002,0.0,-1399.9600000000005,-364.5200000000002,-664.6999999999998,-21.240000000000236,-685.3400000000038,0.0,2726.0059999999994,False,False,False
p0_none_sr250_lr500_buf0_tg1030,"P0 none, short $250, switch long $500, buffer 0, guard 10:30",none,250.0,500.0,0,10:30,1587,0.5721487082545683,34525.099999999984,-10517.099999999999,3.2827585551150023,1.108984350239869,21.754946439823556,917,670,308,31266.599999999984,3258.4999999999936,5311.7599999999975,351314.62,-316789.52,1895,3258.4999999999945,5311.759999999998,71,5821.219999999999,-4106.34,0.6197183098591549,14,-2875.0599999999995,-4106.339999999999,0.42857142857142855,1,100.76,0.0,3,1292.04,0.0,7,2322.1000000000004,-102.24000000000001,14,3172.48,-551.48,27,3883.06,-1226.0000000000002,51,3268.1199999999994,-4106.34,95,4498.139999999999,-4561.46,819,0,264,0,,1434.0199999999968,1607.3400000000001,-242.0,-21.23999999999978,0.0,0.0,396.98,222.24,-25.519999999999527,120.0,-287.52,0.0,-1502.2000000000003,-364.5200000000002,-766.94,-21.240000000000236,-887.3400000000038,0.0,2703.9019999999996,False,False,False
p0_none_sr250_lr500_buf0_tg1100,"P0 none, short $250, switch long $500, buffer 0, guard 11:00",none,250.0,500.0,0,11:00,1605,0.5713395638629284,34890.73999999999,-10517.099999999999,3.317524792956233,1.109801555756545,21.73877881619937,910,695,314,31368.839999999982,3521.8999999999955,6768.659999999998,352652.54000000004,-317761.79999999993,1919,3521.8999999999946,6768.659999999998,71,6023.219999999999,-4106.34,0.6338028169014085,14,-2875.0599999999995,-4106.339999999999,0.42857142857142855,1,100.76,0.0,3,1292.04,0.0,6,2424.34,0.0,13,3274.72,-551.48,26,3985.2999999999997,-1226.0000000000002,50,3370.3599999999997,-4106.34,95,4700.139999999999,-4561.46,852,0,37,0,,1799.6600000000035,1607.3400000000001,-242.0,-21.23999999999978,0.0,0.0,396.98,222.24,76.72000000000025,222.24,-185.2800000000002,0.0,-1399.9600000000005,-364.5200000000002,-664.6999999999998,-21.240000000000236,-685.3400000000038,0.0,2842.706,False,False,False
p0_none_sr250_lr500_buf2ticks_tgnone,"P0 none, short $250, switch long $500, buffer 2ticks, guard none",none,250.0,500.0,2ticks,none,1615,0.5684210526315789,31339.219999999987,-11455.379999999997,2.735764330820976,1.098084248642185,19.405089783281724,905,710,318,29559.31999999998,1779.8999999999958,5648.779999999999,350852.50000000006,-319513.28,1933,1779.8999999999946,5648.779999999999,71,5957.219999999999,-4106.34,0.6338028169014085,14,-2875.0599999999995,-4106.339999999999,0.42857142857142855,1,100.76,0.0,3,1292.04,0.0,6,2424.34,0.0,13,3274.72,-551.48,26,3919.2999999999997,-1292.0000000000002,50,3304.3599999999997,-4106.34,95,4634.139999999999,-4561.46,869,0,0,0,,-1751.8600000000006,669.0600000000013,-242.0,-21.23999999999978,0.0,0.0,396.98,222.24,76.72000000000025,222.24,-185.2800000000002,0.0,-1465.9600000000005,-430.5200000000002,-730.6999999999998,-21.240000000000236,-751.3400000000038,0.0,2487.5539999999996,False,False,False
p0_none_sr250_lr500_buf2ticks_tg1030,"P0 none, short $250, switch long $500, buffer 2ticks, guard 10:30",none,250.0,500.0,2ticks,10:30,1587,0.569628229363579,32165.339999999986,-11170.679999999997,2.8794433284276333,1.1012145555345008,20.268015122873337,917,670,307,29476.839999999982,2688.4999999999945,3521.9999999999973,349958.96,-317793.62,1894,2688.4999999999945,3522.000000000002,71,5755.219999999999,-4106.34,0.6197183098591549,14,-2875.0599999999995,-4106.339999999999,0.42857142857142855,1,100.76,0.0,3,1292.04,0.0,7,2322.1000000000004,-102.24000000000001,14,3172.48,-551.48,27,3817.06,-1292.0000000000002,51,3202.1199999999994,-4106.34,95,4432.139999999999,-4561.46,819,0,264,0,,-925.7400000000016,953.760000000002,-242.0,-21.23999999999978,0.0,0.0,396.98,222.24,-25.519999999999527,120.0,-287.52,0.0,-1568.2000000000003,-430.5200000000002,-832.94,-21.240000000000236,-953.3400000000038,0.0,2467.926,False,False,False
p0_none_sr250_lr500_buf2ticks_tg1100,"P0 none, short $250, switch long $500, buffer 2ticks, guard 11:00",none,250.0,500.0,2ticks,11:00,1605,0.5688473520249221,32506.219999999987,-11170.679999999997,2.909958928194165,1.1019672910115998,20.253096573208715,910,695,313,29559.319999999985,2946.8999999999955,4959.139999999997,351296.88,-318790.66000000003,1918,2946.899999999995,4959.139999999998,71,5957.219999999999,-4106.34,0.6338028169014085,14,-2875.0599999999995,-4106.339999999999,0.42857142857142855,1,100.76,0.0,3,1292.04,0.0,6,2424.34,0.0,13,3274.72,-551.48,26,3919.2999999999997,-1292.0000000000002,50,3304.3599999999997,-4106.34,95,4634.139999999999,-4561.46,852,0,37,0,,-584.8600000000006,953.760000000002,-242.0,-21.23999999999978,0.0,0.0,396.98,222.24,76.72000000000025,222.24,-185.2800000000002,0.0,-1465.9600000000005,-430.5200000000002,-730.6999999999998,-21.240000000000236,-751.3400000000038,0.0,2604.254,False,False,False
p0_none_sr250_lr500_buf0_25r_tgnone,"P0 none, short $250, switch long $500, buffer 0.25r, guard none",none,250.0,500.0,0.25r,none,1615,0.5585139318885449,31699.899999999987,-12043.119999999992,2.6321999614717786,1.1046871179486069,19.62842105263157,905,710,250,27734.999999999985,3964.899999999995,3824.4599999999987,334506.02,-302806.12,1865,3964.8999999999933,3824.4599999999978,71,4550.359999999999,-4106.34,0.6197183098591549,14,-2875.0599999999995,-4106.339999999999,0.42857142857142855,1,100.76,0.0,3,1292.04,0.0,6,1734.08,-52.98000000000002,13,1095.6999999999998,-857.72,26,2404.22,-1561.9800000000002,50,1789.2799999999993,-4106.34,95,2860.0199999999986,-4561.46,869,0,0,0,,-1391.1800000000003,81.32000000000698,-242.0,-21.23999999999978,0.0,0.0,396.98,222.24,-613.54,169.26,-2364.3,-306.24,-2981.0400000000004,-700.5000000000002,-2245.78,-21.240000000000236,-2525.4600000000046,0.0,38.36199999999977,False,False,False
p0_none_sr250_lr500_buf0_25r_tg1030,"P0 none, short $250, switch long $500, buffer 0.25r, guard 10:30",none,250.0,500.0,0.25r,10:30,1587,0.5608065532451165,32303.599999999988,-13000.259999999987,2.4848426108400923,1.1071386095064406,20.355135475740383,917,670,241,27515.099999999988,4788.499999999994,1560.2599999999975,333815.82,-301512.22,1828,4788.499999999995,1560.2599999999998,71,4348.359999999999,-4106.34,0.6056338028169014,14,-2875.0599999999995,-4106.339999999999,0.42857142857142855,1,100.76,0.0,3,1292.04,0.0,7,1631.84,-155.22000000000003,14,993.4599999999998,-857.72,27,2301.9799999999996,-1561.9800000000002,51,1687.0399999999993,-4106.34,95,2658.0200000000004,-4561.46,819,0,264,0,,-787.4799999999996,-875.8199999999888,-242.0,-21.23999999999978,0.0,0.0,396.98,222.24,-715.78,67.01999999999998,-2466.54,-306.24,-3083.2800000000007,-700.5000000000002,-2348.0200000000004,-21.240000000000236,-2727.4600000000028,0.0,-3.5080000000001803,False,False,False
p0_none_sr250_lr500_buf0_25r_tg1100,"P0 none, short $250, switch long $500, buffer 0.25r, guard 11:00",none,250.0,500.0,0.25r,11:00,1605,0.5595015576323987,32069.219999999983,-12786.979999999989,2.507958876920118,1.105858490658215,19.98082242990653,910,695,247,27234.31999999999,4834.899999999993,2634.1399999999967,335013.46,-302944.24,1852,4834.899999999994,2634.139999999999,71,4550.359999999999,-4106.34,0.6197183098591549,14,-2875.0599999999995,-4106.339999999999,0.42857142857142855,1,100.76,0.0,3,1292.04,0.0,6,1734.08,-52.98000000000002,13,1095.6999999999998,-857.72,26,2404.22,-1561.9800000000002,50,1789.2799999999993,-4106.34,95,2860.0199999999986,-4561.46,852,0,37,0,,-1021.8600000000042,-662.53999999999,-242.0,-21.23999999999978,0.0,0.0,396.98,222.24,-613.54,169.26,-2364.3,-306.24,-2981.0400000000004,-700.5000000000002,-2245.78,-21.240000000000236,-2525.4600000000046,0.0,75.29399999999936,False,False,False
