candidate,filter_count,filters,full_trades,full_pnl,full_max_dd,full_win_rate,full_profit_factor,full_avg_trade,full_daily_sharpe,full_daily_sortino,full_best_day,full_worst_day,jan_may_2026_trades,jan_may_2026_pnl,jan_may_2026_max_dd,jan_may_2026_win_rate,jan_may_2026_profit_factor,jan_may_2026_avg_trade,march_2026_trades,march_2026_pnl,march_2026_max_dd,march_2026_win_rate,march_2026_profit_factor,march_2026_avg_trade,apr_may_2026_trades,apr_may_2026_pnl,apr_may_2026_max_dd,apr_may_2026_win_rate,apr_may_2026_profit_factor,apr_may_2026_avg_trade,last_5d_trades,last_5d_pnl,last_5d_max_dd,last_5d_win_rate,last_5d_profit_factor,last_5d_avg_trade,last_10d_trades,last_10d_pnl,last_10d_max_dd,last_10d_win_rate,last_10d_profit_factor,last_10d_avg_trade,last_20d_trades,last_20d_pnl,last_20d_max_dd,last_20d_win_rate,last_20d_profit_factor,last_20d_avg_trade,last_30d_trades,last_30d_pnl,last_30d_max_dd,last_30d_win_rate,last_30d_profit_factor,last_30d_avg_trade,last_50d_trades,last_50d_pnl,last_50d_max_dd,last_50d_win_rate,last_50d_profit_factor,last_50d_avg_trade,last_100d_trades,last_100d_pnl,last_100d_max_dd,last_100d_win_rate,last_100d_profit_factor,last_100d_avg_trade,last_200d_trades,last_200d_pnl,last_200d_max_dd,last_200d_win_rate,last_200d_profit_factor,last_200d_avg_trade,full_trade_retention,jan_may_trade_retention,apr_may_pnl_retention,march_dd_improvement,march_pnl_improvement,full_return_dd
BASELINE,0,BASELINE,1296,33091.07999999999,-12124.439999999999,0.5648148148148148,1.1175208199325852,25.53324074074073,0.6497122433234666,0.8354487145674216,990.78,-3780.96,72,6096.359999999999,-4085.0999999999985,0.5972222222222222,1.5586932335760668,84.67166666666665,15,-2633.0599999999995,-4085.0999999999995,0.4,0.42274925570770244,-175.5373333333333,33,5851.54,-861.48,0.6363636363636364,2.721517125322884,177.31939393939393,1,100.76,0.0,1.0,,100.76,5,895.06,-222.24,0.6,3.2546727794851122,179.012,10,2347.62,-222.24,0.7,5.702576018588998,234.762,18,3460.0,-551.48,0.7222222222222222,3.9893558197401164,192.22222222222223,30,5385.26,-861.48,0.6666666666666666,2.657982562005862,179.50866666666667,54,4035.0599999999995,-4085.1,0.5555555555555556,1.4772451477841255,74.72333333333333,94,5385.480000000003,-4561.46,0.6170212765957447,1.3335083812444417,57.29234042553195,1.0,1.0,1.0,0.0,0.0,2.7292872907944608
ST15_10,1,ST15_10,677,18782.639999999992,-9059.72,0.5672082717872969,1.1232838193236176,27.743929098966014,0.6774875843511325,0.8614163805780911,989.04,-3780.96,41,3325.5999999999995,-1923.68,0.6097560975609756,1.5324111874229542,81.1121951219512,8,-692.4000000000001,-1923.68,0.375,0.6797320924725015,-86.55000000000001,18,3110.54,-861.48,0.6666666666666666,2.759434816055025,172.80777777777777,1,100.76,0.0,1.0,,100.76,3,138.77999999999997,-174.74,0.6666666666666666,1.7942085383999082,46.25999999999999,5,433.29999999999995,-174.74,0.6,2.564372878908224,86.66,8,1531.36,-174.74,0.75,6.528774640768286,191.42,16,3261.52,-861.48,0.75,3.017094017094017,203.845,29,2740.920000000001,-1923.68,0.5862068965517241,1.695382585751979,94.51448275862073,52,874.9999999999991,-4327.339999999999,0.6153846153846154,1.0851540071042771,16.82692307692306,0.5223765432098766,0.5694444444444444,0.5315763029903239,2161.419999999999,1940.6599999999994,2.0732031453510698
ST15_20,1,ST15_20,722,28578.759999999995,-8537.3,0.5789473684210527,1.1838476939108007,39.58277008310249,0.989649422910014,1.2754517808852386,989.04,-3780.96,45,4235.18,-1923.68,0.6222222222222222,1.623023987242894,94.11511111111112,9,-471.6400000000001,-1923.68,0.4444444444444444,0.7818440844796802,-52.40444444444446,20,3504.840000000001,-861.48,0.65,2.511097697680435,175.24200000000005,1,100.76,0.0,1.0,,100.76,3,138.77999999999997,-174.74,0.6666666666666666,1.7942085383999082,46.25999999999999,5,433.29999999999995,-174.74,0.6,2.564372878908224,86.66,9,979.8799999999999,-551.48,0.6666666666666666,2.182772855659899,108.87555555555554,18,3655.8200000000006,-861.48,0.7222222222222222,2.68593722618312,203.10111111111115,32,3355.9799999999996,-1923.68,0.59375,1.7469219332840724,104.87437499999999,56,1372.0999999999997,-4739.819999999999,0.6071428571428571,1.1243526790974034,24.50178571428571,0.5570987654320988,0.625,0.5989602737057255,2161.419999999999,2161.419999999999,3.3475173649748746
ST15_5,1,ST15_5,654,26855.819999999992,-9118.82,0.5795107033639144,1.1880079577687725,41.06394495412843,1.0059654149733392,1.2926951366220996,989.04,-3780.96,38,2563.0600000000004,-1923.68,0.6052631578947368,1.4300753746920916,67.44894736842106,8,-692.4000000000001,-1923.68,0.375,0.6797320924725015,-86.55000000000001,18,3110.54,-861.48,0.6666666666666666,2.759434816055025,172.80777777777777,1,100.76,0.0,1.0,,100.76,3,138.77999999999997,-174.74,0.6666666666666666,1.7942085383999082,46.25999999999999,5,433.29999999999995,-174.74,0.6,2.564372878908224,86.66,8,1531.36,-174.74,0.75,6.528774640768286,191.42,16,3261.52,-861.48,0.75,3.017094017094017,203.845,28,2544.1600000000008,-1923.68,0.5714285714285714,1.645463771057439,90.86285714285717,48,-121.56000000000085,-4561.359999999999,0.6041666666666666,0.9878382353235436,-2.532500000000018,0.5046296296296297,0.5277777777777778,0.5315763029903239,2161.419999999999,1940.6599999999994,2.9450981596303025
ST15_50,1,ST15_50,779,28128.94,-8938.499999999996,0.5789473684210527,1.1645609327803224,36.10903722721437,0.8874016159677157,1.135900190285972,989.04,-3780.96,49,5462.98,-1713.9399999999996,0.6122448979591837,1.8179632147284828,111.48938775510203,9,-23.6400000000001,-1713.94,0.4444444444444444,0.9862072184557219,-2.6266666666666776,23,3350.120000000001,-861.48,0.6086956521739131,2.2649695285419766,145.65739130434787,1,100.76,0.0,1.0,,100.76,4,-83.46000000000002,-222.24,0.5,0.7897627084487883,-20.865000000000006,6,211.05999999999995,-324.48,0.5,1.422779536076279,35.176666666666655,13,1035.6799999999998,-551.48,0.6153846153846154,1.894802322366602,79.66769230769229,21,3501.1000000000004,-861.48,0.6666666666666666,2.4018979738928494,166.71904761904764,36,4625.780000000001,-1713.9399999999998,0.5833333333333334,2.0575483646772113,128.4938888888889,62,3161.7000000000007,-4178.0199999999995,0.6129032258064516,1.2896677208811427,50.99516129032259,0.6010802469135802,0.6805555555555556,0.57251937096901,2371.1599999999994,2609.419999999999,3.146941880628742
ST5_10,1,ST5_10,758,22270.819999999996,-8442.619999999995,0.5686015831134564,1.136681982013387,29.381029023746695,0.7517805736712406,0.9685366616993044,989.04,-3459.48,46,6193.160000000001,-1713.9399999999991,0.6521739130434783,2.2161812933252167,134.6339130434783,9,-23.6400000000001,-1713.94,0.4444444444444444,0.9862072184557219,-2.6266666666666776,21,3337.080000000001,-1384.6799999999994,0.6666666666666666,2.3362216705373595,158.90857142857146,0,0.0,0.0,0.0,,0.0,3,-184.22000000000003,-222.24,0.3333333333333333,0.5359463952843971,-61.40666666666667,7,383.81999999999994,-222.24,0.5714285714285714,1.768839389447538,54.83142857142856,13,932.9199999999998,-551.48,0.6153846153846154,1.8060201824716613,71.76307692307691,20,2719.8200000000006,-1384.68,0.65,2.0890606230479705,135.99100000000004,33,3636.2199999999993,-1713.94,0.6060606060606061,1.8610350739270867,110.18848484848483,61,4278.12,-4561.46,0.6557377049180327,1.427310337663583,70.13311475409836,0.5848765432098766,0.6388888888888888,0.5702908977807553,2371.1599999999994,2609.419999999999,2.6379038734421316
ST5_20,1,ST5_20,856,30689.979999999996,-7469.679999999991,0.5712616822429907,1.1728986073230636,35.85278037383177,0.9292682894794689,1.2054047804422703,989.04,-3459.48,48,5143.44,-1915.639999999998,0.6041666666666666,1.9051368235811708,107.15499999999999,9,-23.6400000000001,-1713.94,0.4444444444444444,0.9862072184557219,-2.6266666666666776,23,2287.3600000000015,-1915.64,0.5652173913043478,1.7408213499157925,99.45043478260877,0,0.0,0.0,0.0,,0.0,3,-184.22000000000003,-222.24,0.3333333333333333,0.5359463952843971,-61.40666666666667,7,383.81999999999994,-222.24,0.5714285714285714,1.768839389447538,54.83142857142856,13,932.9199999999998,-551.48,0.6153846153846154,1.8060201824716613,71.76307692307691,21,1729.3399999999997,-1915.64,0.5714285714285714,1.5710483562059998,82.34952380952379,35,2586.5,-1915.64,0.5428571428571428,1.5373674500548484,73.9,64,3773.4399999999996,-4561.46,0.640625,1.3646822328745942,58.959999999999994,0.6604938271604939,0.6666666666666666,0.3908988061262508,2371.1599999999994,2609.419999999999,4.108607062149923
ST5_5,1,ST5_5,708,28148.759999999995,-6763.159999999991,0.5819209039548022,1.1894488941283332,39.75813559322033,1.0147281746745236,1.3144348167935036,989.04,-3459.48,43,6922.120000000001,-1713.9399999999991,0.6744186046511628,2.6271720324958636,160.97953488372096,9,-23.6400000000001,-1713.94,0.4444444444444444,0.9862072184557219,-2.6266666666666776,19,3779.300000000001,-968.2199999999998,0.6842105263157895,2.9421661733267555,198.91052631578953,0,0.0,0.0,0.0,,0.0,3,-184.22000000000003,-222.24,0.3333333333333333,0.5359463952843971,-61.40666666666667,7,383.81999999999994,-222.24,0.5714285714285714,1.768839389447538,54.83142857142856,11,1375.1399999999999,-222.24,0.6363636363636364,3.269357713380421,125.01272727272726,18,3162.04,-968.22,0.6666666666666666,2.6249588883407338,175.6688888888889,31,4078.4400000000014,-1713.94,0.6129032258064516,2.1108072774812072,131.56258064516135,57,4503.56,-4561.46,0.6491228070175439,1.485126992026508,79.00982456140352,0.5462962962962963,0.5972222222222222,0.6458641656726265,2371.1599999999994,2609.419999999999,4.162072167448358
ST5_50,1,ST5_50,964,28198.91999999999,-8026.66,0.5684647302904564,1.1414324607552522,29.251991701244805,0.7581100748213794,0.9706882208697832,989.04,-3780.96,50,5842.719999999999,-1915.6399999999985,0.62,2.034384349827388,116.85439999999998,8,102.09999999999991,-1588.2,0.5,1.0642866137766023,12.762499999999989,25,2563.6400000000003,-1915.64,0.56,1.8063434549308985,102.54560000000001,1,100.76,0.0,1.0,,100.76,4,-83.46000000000002,-222.24,0.5,0.7897627084487883,-20.865000000000006,9,1369.1,-222.24,0.6666666666666666,3.742478266095108,152.1222222222222,15,1918.1999999999998,-551.48,0.6666666666666666,2.6572781310478297,127.87999999999998,23,2714.620000000001,-1915.64,0.6086956521739131,1.8963993712768634,118.02695652173917,36,2988.5200000000004,-1915.64,0.5555555555555556,1.6253075777104502,83.01444444444445,67,4362.9800000000005,-4561.46,0.6417910447761194,1.4185939859578964,65.11910447761194,0.7438271604938271,0.6944444444444444,0.43811372732648163,2496.8999999999996,2735.1599999999994,3.5131574029546524
ST15_10 & ST15_20,2,"ST15_10,ST15_20",647,17028.299999999992,-9205.7,0.5687789799072643,1.1168576470000477,26.318856259659956,0.6440535885630577,0.8168617861114812,989.04,-3780.96,41,3325.5999999999995,-1923.68,0.6097560975609756,1.5324111874229542,81.1121951219512,8,-692.4000000000001,-1923.68,0.375,0.6797320924725015,-86.55000000000001,18,3110.54,-861.48,0.6666666666666666,2.759434816055025,172.80777777777777,1,100.76,0.0,1.0,,100.76,3,138.77999999999997,-174.74,0.6666666666666666,1.7942085383999082,46.25999999999999,5,433.29999999999995,-174.74,0.6,2.564372878908224,86.66,8,1531.36,-174.74,0.75,6.528774640768286,191.42,16,3261.52,-861.48,0.75,3.017094017094017,203.845,29,2740.920000000001,-1923.68,0.5862068965517241,1.695382585751979,94.51448275862073,51,669.4799999999993,-4532.859999999999,0.6078431372549019,1.0651530339156248,13.1270588235294,0.4992283950617284,0.5694444444444444,0.5315763029903239,2161.419999999999,1940.6599999999994,1.849756129354638
