variant_id,sequence_id,ny_date,leg_index,side,orb_minutes,orb_end,short_tp_r,signal_ts,entry_ts,exit_ts,signal_minutes_from_open,exit_reason,orb_high,orb_low,orb_range_pts,entry_price,exit_price,stop_reference,entry_risk_pts,risk_per_contract_usd,target_risk_usd,contracts_float,contracts_used,pnl_per_contract_usd,pnl_usd,label
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-06,2019-05-06,1,LONG,15,09:45,2.0,2019-05-06 13:46:00+00:00,2019-05-06 13:47:00+00:00,2019-05-06 19:00:00+00:00,16,TIME_EXIT,7745.75,7676.5,69.25,7745.75,7814.25,7676.5,69.25,138.5,500.0,3.6101083032490973,3,135.76,407.28,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-07,2019-05-07,1,SHORT,15,09:45,2.0,2019-05-07 14:05:00+00:00,2019-05-07 14:06:00+00:00,2019-05-07 19:00:00+00:00,35,TIME_EXIT,7752.75,7719.25,33.5,7687.5,7614.0,7752.75,65.25,130.5,350.0,2.681992337164751,2,145.76,291.52,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-08,2019-05-08,1,LONG,15,09:45,2.0,2019-05-08 13:49:00+00:00,2019-05-08 13:50:00+00:00,2019-05-08 19:00:00+00:00,19,TIME_EXIT,7651.0,7600.75,50.25,7654.25,7664.75,7600.75,53.5,107.0,500.0,4.672897196261682,4,19.76,79.04,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-09,2019-05-09,1,SHORT,15,09:45,2.0,2019-05-09 13:46:00+00:00,2019-05-09 13:47:00+00:00,2019-05-09 16:33:00+00:00,16,SWITCH_TO_LONG,7565.75,7528.0,37.75,7524.75,7568.5,7565.75,41.0,82.0,350.0,4.2682926829268295,4,-88.74,-354.96,0
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-09,2019-05-09,2,LONG,15,09:45,2.0,2019-05-09 16:32:00+00:00,2019-05-09 16:33:00+00:00,2019-05-09 19:00:00+00:00,182,TIME_EXIT,7565.75,7528.0,37.75,7568.5,7572.75,7528.0,40.5,81.0,750.0,9.25925925925926,9,7.26,65.34,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-10,2019-05-10,1,LONG,15,09:45,2.0,2019-05-10 13:47:00+00:00,2019-05-10 13:48:00+00:00,2019-05-10 19:00:00+00:00,17,TIME_EXIT,7580.5,7554.0,26.5,7584.0,7576.5,7554.0,30.0,60.0,500.0,8.333333333333334,8,-16.24,-129.92,0
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-13,2019-05-13,1,SHORT,15,09:45,2.0,2019-05-13 13:53:00+00:00,2019-05-13 13:54:00+00:00,2019-05-13 19:00:00+00:00,23,TIME_EXIT,7444.75,7395.25,49.5,7387.5,7372.75,7444.75,57.25,114.5,350.0,3.056768558951965,3,28.26,84.78,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-14,2019-05-14,1,SHORT,15,09:45,2.0,2019-05-14 13:49:00+00:00,2019-05-14 13:50:00+00:00,2019-05-14 14:19:00+00:00,19,SWITCH_TO_LONG,7395.0,7367.25,27.75,7361.5,7398.75,7395.0,33.5,67.0,350.0,5.223880597014926,5,-75.74,-378.7,0
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-14,2019-05-14,2,LONG,15,09:45,2.0,2019-05-14 14:18:00+00:00,2019-05-14 14:19:00+00:00,2019-05-14 19:00:00+00:00,48,TIME_EXIT,7395.0,7367.25,27.75,7398.75,7437.0,7367.25,31.5,63.0,750.0,11.904761904761905,11,75.26,827.86,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-15,2019-05-15,1,LONG,15,09:45,2.0,2019-05-15 13:46:00+00:00,2019-05-15 13:47:00+00:00,2019-05-15 14:30:00+00:00,16,TP_2R,7395.25,7363.0,32.25,7397.25,7465.5,7363.0,34.25,68.5,500.0,7.299270072992701,7,135.26,946.8199999999999,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-16,2019-05-16,1,LONG,15,09:45,2.0,2019-05-16 13:50:00+00:00,2019-05-16 13:51:00+00:00,2019-05-16 19:00:00+00:00,20,TIME_EXIT,7563.25,7511.5,51.75,7564.25,7610.75,7511.5,52.75,105.5,500.0,4.739336492890995,4,91.76,367.04,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-17,2019-05-17,1,LONG,15,09:45,2.0,2019-05-17 13:48:00+00:00,2019-05-17 13:49:00+00:00,2019-05-17 19:00:00+00:00,18,TIME_EXIT,7564.25,7516.25,48.0,7566.5,7569.5,7516.25,50.25,100.5,500.0,4.975124378109452,4,4.76,19.04,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-20,2019-05-20,1,LONG,15,09:45,2.0,2019-05-20 14:26:00+00:00,2019-05-20 14:27:00+00:00,2019-05-20 19:00:00+00:00,56,TIME_EXIT,7416.75,7361.5,55.25,7418.5,7380.75,7361.5,57.0,114.0,500.0,4.385964912280702,4,-76.74,-306.96,0
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-21,2019-05-21,1,SHORT,15,09:45,2.0,2019-05-21 13:51:00+00:00,2019-05-21 13:52:00+00:00,2019-05-21 14:47:00+00:00,21,SWITCH_TO_LONG,7465.0,7444.0,21.0,7442.75,7466.25,7465.0,22.25,44.5,350.0,7.865168539325842,7,-48.24,-337.68,0
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-21,2019-05-21,2,LONG,15,09:45,2.0,2019-05-21 14:46:00+00:00,2019-05-21 14:47:00+00:00,2019-05-21 19:00:00+00:00,76,TIME_EXIT,7465.0,7444.0,21.0,7466.25,7467.25,7444.0,22.25,44.5,750.0,16.853932584269664,16,0.76,12.16,1
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-22,2019-05-22,1,LONG,15,09:45,2.0,2019-05-22 13:55:00+00:00,2019-05-22 13:56:00+00:00,2019-05-22 19:00:00+00:00,25,TIME_EXIT,7447.5,7420.25,27.25,7450.5,7455.0,7420.25,30.25,60.5,500.0,8.264462809917354,8,7.76,62.08,1
