variant_id,label,trades,win_rate,pnl_usd,max_dd_usd,return_dd,profit_factor,avg_trade_usd,long_first_trades,short_first_trades,switch_count,long_pnl_usd,short_pnl_usd,gross_profit_usd,gross_loss_usd,jan_may_2026_trades,jan_may_2026_pnl_usd,jan_may_2026_max_dd_usd,march_2026_trades,march_2026_pnl_usd,march_2026_max_dd_usd,last_5d_trades,last_5d_pnl_usd,last_5d_max_dd_usd,last_10d_trades,last_10d_pnl_usd,last_10d_max_dd_usd,last_20d_trades,last_20d_pnl_usd,last_20d_max_dd_usd,last_30d_trades,last_30d_pnl_usd,last_30d_max_dd_usd,last_50d_trades,last_50d_pnl_usd,last_50d_max_dd_usd,last_100d_trades,last_100d_pnl_usd,last_100d_max_dd_usd,last_200d_trades,last_200d_pnl_usd,last_200d_max_dd_usd
long_only_no_st,"Long only, no ST",1296,0.5648148148148148,33091.07999999999,-12124.439999999999,2.7292872907944608,1.1175208199325852,25.53324074074073,1296,0,0,0.0,0.0,314667.4,-281576.32,72,6096.359999999999,-4085.0999999999985,15,-2633.0599999999995,-4085.0999999999995,1,100.76,0.0,5,895.06,-222.24,10,2347.62,-222.24,18,3460.0,-551.48,30,5385.26,-861.48,54,4035.0599999999995,-4085.1,94,5385.480000000003,-4561.46
long_short_first_breakout_no_switch,"Long+Short first breakout, no switch",1767,0.5302773061686474,26500.51999999999,-15294.199999999963,1.732716977677816,1.0611161414986652,14.997464629315218,905,862,0,0.0,0.0,460109.70000000007,-433609.17999999993,97,4071.739999999999,-3623.3999999999983,20,-1451.48,-3105.02,2,-65.48,-166.24,7,1251.08,-321.72,13,360.39999999999986,-1635.96,21,839.2799999999997,-1635.96,35,-1584.180000000001,-3623.3999999999996,67,77.49999999999841,-3623.4000000000005,130,318.01999999999975,-6460.019999999996
short_switch_tp1_5r,"Short switch to long, short TP 1.5R",1767,0.5489530277306168,26123.74999999999,-16047.17999999996,1.6279340046039275,1.0639284783148875,14.784238822863605,905,862,375,33721.51999999998,-7597.770000000011,434764.01,-408640.26,97,6591.599999999998,-4042.2599999999984,20,-2085.44,-4042.2599999999993,2,-65.48,-166.24,7,421.3499999999999,-692.48,13,1138.7099999999998,-692.48,21,1323.1299999999997,-886.2,35,1445.5499999999993,-1839.0600000000002,67,1967.529999999999,-4042.26,130,6310.439999999999,-4858.2
short_switch_tp1r,"Short switch to long, short TP 1R",1767,0.5789473684210527,32241.99999999998,-13722.319999999996,2.3496026910901358,1.0834976638419584,18.246745897000554,905,862,340,32848.51999999998,-606.5200000000082,418384.54,-386142.54,97,4270.0999999999985,-4206.759999999999,20,-2479.94,-4206.759999999999,2,-65.48,-166.24,7,223.5999999999999,-692.48,13,788.9599999999998,-692.48,21,973.3799999999997,-886.2,35,907.299999999999,-1839.0600000000002,67,542.2799999999993,-4206.76,130,4771.919999999999,-4206.759999999998
short_switch_tp2r,"Short switch to long, short TP 2R",1767,0.5398981324278438,37730.97999999999,-12714.779999999999,2.9674898032054027,1.09123705920684,21.353129598189014,905,862,382,34059.499999999985,3671.479999999989,451279.82,-413548.83999999997,97,7084.599999999998,-4030.759999999998,20,-2073.94,-4030.7599999999993,2,-65.48,-166.24,7,461.5999999999999,-692.48,13,1330.9599999999998,-692.48,21,1515.3799999999997,-886.2,35,1070.299999999999,-2191.9400000000005,67,2088.279999999999,-4030.76,130,6105.719999999999,-4858.2
