year,trades,pnl_usd,max_dd_usd,return_dd,win_rate,avg_trade_usd,profit_factor,gross_profit_usd,gross_loss_usd,long_pnl_usd,short_pnl_usd,switch_long_pnl_usd,switch_count
2019,154,-2292.6600000000003,-12291.859999999997,-0.18651855780980264,0.538961038961039,-14.8874025974026,0.940892178357296,36495.1,-38787.76000000001,-2688.2599999999993,395.6000000000003,-185.68000000000006,27
2020,232,677.9999999999977,-7049.82,0.09617266823833769,0.5344827586206896,2.9224137931034386,1.0126090131010994,54449.060000000005,-53771.06,2986.159999999999,-2308.1600000000008,2946.6000000000004,40
2021,242,7063.439999999997,-7211.999999999999,0.9794009983361062,0.5950413223140496,29.18776859504131,1.1441518367346941,56063.44,-48999.99999999999,8071.259999999998,-1007.820000000001,-2144.08,40
2022,242,-345.4400000000005,-8285.359999999993,-0.041692817210115286,0.5537190082644629,-1.4274380165289278,0.9936385423599343,53956.58,-54302.020000000004,-3349.0600000000036,3003.619999999999,-3022.0200000000004,44
2023,249,13291.219999999998,-7463.69999999999,1.7807816498519522,0.5903614457831325,53.37839357429718,1.242709965023025,68052.95999999999,-54761.74,9613.019999999997,3678.1999999999985,2038.6399999999999,28
2024,241,12584.939999999995,-5532.819999999996,2.2745977638889396,0.5767634854771784,52.21966804979251,1.2287662632047933,67597.16,-55012.22000000001,11837.139999999996,747.7999999999988,-263.6600000000012,47
2025,217,1901.0999999999992,-7938.16,0.2394887480222116,0.631336405529954,8.760829493087554,1.0390418352024235,50595.02,-48693.92,-591.5600000000013,2492.6599999999994,964.5199999999995,35
2026,83,10065.279999999999,-3059.079999999998,3.2902964289917245,0.6746987951807228,121.26843373493975,1.8246525331244656,22270.760000000002,-12205.48,8388.7,1676.5799999999997,4931.88,11
