variant_id,variant_label,sequence_id,ny_date,orb_minutes,short_tp_r,long_tp_r,short_filter,short_risk_usd,switch_long_risk_usd,switch_buffer_mode,short_entry_until,first_side,switched_to_long,leg_count,signal_ts,entry_ts,exit_ts,exit_reason,side,long_pnl_usd,short_pnl_usd,switch_long_pnl_usd,pnl_usd,pnl_net_usd,label,contracts_used,orb_high,orb_low,orb_range_pts
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-06,2019-05-06,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,LONG,False,1,2019-05-06 13:46:00+00:00,2019-05-06 13:47:00+00:00,2019-05-06 19:00:00+00:00,TIME_EXIT,LONG,407.28,0.0,0.0,407.28,407.28,1,3,7745.75,7676.5,69.25
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-07,2019-05-07,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,SHORT,False,1,2019-05-07 14:05:00+00:00,2019-05-07 14:06:00+00:00,2019-05-07 19:00:00+00:00,TIME_EXIT,SHORT,0.0,291.52,0.0,291.52,291.52,1,2,7752.75,7719.25,33.5
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-08,2019-05-08,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,LONG,False,1,2019-05-08 13:49:00+00:00,2019-05-08 13:50:00+00:00,2019-05-08 19:00:00+00:00,TIME_EXIT,LONG,79.04,0.0,0.0,79.04,79.04,1,4,7651.0,7600.75,50.25
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-09,2019-05-09,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,SHORT,True,2,2019-05-09 13:46:00+00:00,2019-05-09 13:47:00+00:00,2019-05-09 19:00:00+00:00,SWITCH_TO_LONG+TIME_EXIT,SHORT,65.34,-354.96,65.34,-289.62,-289.62,0,13,7565.75,7528.0,37.75
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-10,2019-05-10,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,LONG,False,1,2019-05-10 13:47:00+00:00,2019-05-10 13:48:00+00:00,2019-05-10 19:00:00+00:00,TIME_EXIT,LONG,-129.92,0.0,0.0,-129.92,-129.92,0,8,7580.5,7554.0,26.5
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-13,2019-05-13,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,SHORT,False,1,2019-05-13 13:53:00+00:00,2019-05-13 13:54:00+00:00,2019-05-13 19:00:00+00:00,TIME_EXIT,SHORT,0.0,84.78,0.0,84.78,84.78,1,3,7444.75,7395.25,49.5
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-14,2019-05-14,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,SHORT,True,2,2019-05-14 13:49:00+00:00,2019-05-14 13:50:00+00:00,2019-05-14 19:00:00+00:00,SWITCH_TO_LONG+TIME_EXIT,SHORT,827.86,-378.7,827.86,449.16,449.16,1,16,7395.0,7367.25,27.75
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-15,2019-05-15,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,LONG,False,1,2019-05-15 13:46:00+00:00,2019-05-15 13:47:00+00:00,2019-05-15 14:30:00+00:00,TP_2R,LONG,946.8199999999999,0.0,0.0,946.8199999999999,946.8199999999999,1,7,7395.25,7363.0,32.25
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-16,2019-05-16,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,LONG,False,1,2019-05-16 13:50:00+00:00,2019-05-16 13:51:00+00:00,2019-05-16 19:00:00+00:00,TIME_EXIT,LONG,367.04,0.0,0.0,367.04,367.04,1,4,7563.25,7511.5,51.75
p0_st5_20_bearish_sr350_lr750_buf0_tg1030,"P0 st5_20_bearish, short $350, switch long $750, buffer 0, guard 10:30",NASDAQ_ORB_15m_p0_short_switch_tp2r_p0_st5_20_bearish_sr350_lr750_buf0_tg1030_2019-05-17,2019-05-17,15,2.0,2.0,st5_20_bearish,350.0,750.0,0,10:30,LONG,False,1,2019-05-17 13:48:00+00:00,2019-05-17 13:49:00+00:00,2019-05-17 19:00:00+00:00,TIME_EXIT,LONG,19.04,0.0,0.0,19.04,19.04,1,4,7564.25,7516.25,48.0
