feature,year,mean,median,std,p5,p95
orb_range_atr_ratio,2010,2.0586295356706903,1.605071856987007,1.7291639850483758,0.18943429668943995,5.425028567702258
orb_range_atr_ratio,2011,3.508149495638402,2.9085965188354788,2.6160739792594394,0.44505509220841866,8.537743945204994
orb_range_atr_ratio,2012,2.940097886265953,2.319794609103727,2.4836578750765894,0.46184383227682446,7.393719204050627
orb_range_atr_ratio,2013,3.3444155826695185,2.798881699295388,2.8814357056601048,0.5854054116898129,7.962715044131533
orb_range_atr_ratio,2014,2.8986573961647775,2.4243609988613066,2.1814426873344424,0.46312841735239973,6.983308016893002
orb_range_atr_ratio,2015,3.486708482250068,2.9507655138368234,2.569053387902086,0.6221640925086329,8.162353691996518
orb_range_atr_ratio,2016,4.8624785321117825,4.244239106338772,3.4253686771768788,1.1924742003615583,10.680487990421158
orb_range_atr_ratio,2017,5.511445539768991,3.5561727899080515,8.152504851428734,0.3540293266745758,16.6184403522204
orb_range_atr_ratio,2018,7.43337837991542,4.516662887690286,13.770720390076342,0.3783969683391644,24.16894730031717
orb_range_atr_ratio,2019,6.4432323136664795,5.0966803179339815,8.077180359267576,1.2356710581756922,13.609694917113039
orb_range_atr_ratio,2020,5.54763502390621,4.987884215350769,3.6461697066520613,2.7447061556131995,9.900000321627033
orb_range_atr_ratio,2021,5.493416376486158,4.967558783248116,2.6045288633381833,2.740102791056093,9.75468758155155
orb_range_atr_ratio,2022,5.967788494284442,5.0785537654554265,5.270416280402473,2.279644635731282,11.046334031288444
orb_range_atr_ratio,2023,6.198744972438792,4.8326316822820985,8.020238767139205,1.7712126710386713,11.235645017257097
orb_range_atr_ratio,2024,5.560461214738612,4.74141557401144,4.846868859548743,2.499223303362971,9.366644714292589
orb_range_atr_ratio,2025,5.095277523553978,4.594593298072078,2.826276180080155,2.629048301822962,8.742757809046806
orb_range_atr_ratio,2026,4.818295403613065,4.495716880287665,1.8480478351871161,2.5469711177770993,7.912067763228967
breakout_strength,2010,1.5775735294117577,1.099999999999909,1.5020835112862765,0.09999999999990905,4.2999999999999545
breakout_strength,2011,1.3074891982717252,0.7999999999999545,1.8341018217864593,0.09999999999990905,4.2000000000000455
breakout_strength,2012,1.259495478343644,0.8999999999998636,1.4473449685015372,0.09999999999990905,3.5
breakout_strength,2013,1.1583133684714904,0.7000000000000455,1.4896613534714411,0.09999999999990905,3.5
breakout_strength,2014,0.7206640237859265,0.5,0.75884485036042,0.09999999999990905,2.0249999999999773
breakout_strength,2015,0.6623600746268702,0.40000000000009095,0.815499623044993,0.09999999999990905,2.0
breakout_strength,2016,0.7710329670329666,0.40000000000009095,1.1991755562638007,0.09999999999990905,2.800000000000182
breakout_strength,2017,2.5266018559434404,0.40000000000009095,5.5647079939382476,0.09999999999990905,20.09999999999991
breakout_strength,2018,2.263608428446006,0.3999999999998636,5.389111807735673,0.09999999999990905,16.65000000000009
breakout_strength,2019,1.0357964601769918,0.2999999999999545,2.9147824373266045,0.09999999999990905,5.0
breakout_strength,2020,0.9068260869565183,0.5,1.4884468951860421,0.09999999999990905,3.205000000000059
breakout_strength,2021,0.7010979358805454,0.2999999999999545,1.1446007200455233,0.09999999999990905,2.6000000000001364
breakout_strength,2022,1.020990359333916,0.3000000000001819,2.3760312880756245,0.09999999999990905,3.900000000000091
breakout_strength,2023,1.4462322695035497,0.3000000000001819,4.278456079214187,0.09999999999990905,6.0
breakout_strength,2024,1.061495002172969,0.40000000000009095,2.6684996608559093,0.09999999999990905,3.299999999999727
breakout_strength,2025,1.5878562034195594,0.6999999999998181,3.131633314474613,0.09999999999990905,5.800000000000182
breakout_strength,2026,3.5695366217824596,1.60009765625,6.217822263391712,0.10009765625,12.5
atr14_at_entry,2010,1.468631010554556,1.2987980836450261,0.7774032226280329,0.6922683740715261,2.6747555868650617
atr14_at_entry,2011,1.0861984898282462,0.9679097331013827,0.571628160849376,0.4545343135816705,2.147660810021028
atr14_at_entry,2012,1.2133156912630867,1.096776760314633,0.5491335166843442,0.5723168419590331,2.23453606112104
atr14_at_entry,2013,0.9678919244730788,0.8710050769921693,0.5273324564792483,0.4912041921166788,1.6670667368023484
atr14_at_entry,2014,0.660571816384151,0.6160035664684039,0.24580092219616184,0.3735606436588849,1.0792152547791891
atr14_at_entry,2015,0.5514542181526968,0.5131845245890216,0.22388449328870658,0.2751127547846546,0.9723889469433453
atr14_at_entry,2016,0.6228679852785873,0.48353639563066886,0.48377643227083206,0.2251444385705887,1.5028670927093744
atr14_at_entry,2017,1.9537236305854044,1.332042568170091,1.9009885000655622,0.22191587796053747,5.620478853641359
atr14_at_entry,2018,1.8391213124538155,0.9724043963661606,1.98735263063938,0.19117931833170243,5.627368657024459
atr14_at_entry,2019,0.6183693500300628,0.37292718764862265,0.7355670068707064,0.14442785779066847,2.0292793409530425
atr14_at_entry,2020,0.9540084450341668,0.7599002692754718,0.7926905902642571,0.27608034907218276,2.154516133595467
atr14_at_entry,2021,0.6944983435390603,0.5610284045394051,0.41541714992583734,0.23786363401751495,1.497185598730588
atr14_at_entry,2022,0.8578464046996656,0.6552132638371766,0.727814246541087,0.26542910755541704,1.9293595062056568
atr14_at_entry,2023,0.9363790654749204,0.582454311877509,1.207564540782115,0.21683255348992858,2.769997322938853
atr14_at_entry,2024,1.0881992301157435,0.7287437737907783,1.4028058343859648,0.273076609605026,2.4978728364196687
atr14_at_entry,2025,1.9808694647284733,1.5707294105413445,1.867734601939807,0.5864491118320467,4.304483531134417
atr14_at_entry,2026,4.423108907385277,3.5317704858976575,3.0003555881892905,1.7356997969896697,10.078182592880879
price_vs_vwap_pct,2010,0.021413064363201575,0.026685157385024354,0.20037701168624597,-0.31692657642875444,0.3249222841873766
price_vs_vwap_pct,2011,0.008090622454916891,0.021845584834484042,0.20477055719489576,-0.29092152804037585,0.30629857626037676
price_vs_vwap_pct,2012,0.015645858768451062,0.007263450307351336,0.16854136314250812,-0.2052717338591646,0.2895392394913867
price_vs_vwap_pct,2013,0.00738308181217798,-0.02095435443125543,0.19758510555283607,-0.2538991869586178,0.2675371349395206
price_vs_vwap_pct,2014,0.0018160222786542124,0.00023089835623439197,0.12276452073937259,-0.16170440549680656,0.17470503708497154
price_vs_vwap_pct,2015,-0.001189343987731461,-0.023604430200263343,0.12966322703023647,-0.18632668811578992,0.20190826976048148
price_vs_vwap_pct,2016,0.0010920995872786621,0.006960219183631867,0.18091722534561294,-0.27731549216358203,0.26427521804186094
price_vs_vwap_pct,2017,0.2736334717567578,0.01908609418987555,0.6731523263641997,-0.3251251656099932,1.9018338193861
price_vs_vwap_pct,2018,0.2604804409095588,0.02277929898349725,0.6780991757925313,-0.3940092529106952,1.6203928386872424
price_vs_vwap_pct,2019,0.060159041879894785,0.027363302797888713,0.3134339954690728,-0.16304494149837973,0.46689044291680915
price_vs_vwap_pct,2020,0.00677105097299171,0.03150582243660084,0.19610579561504124,-0.2764997502859516,0.2736376296266876
price_vs_vwap_pct,2021,0.004268653342950725,-0.022186381761927103,0.13308409545614397,-0.1958967320729943,0.2113216433203298
price_vs_vwap_pct,2022,0.005566516788905677,-0.03223802482197629,0.206489146530497,-0.23628182809948836,0.2551475501380546
price_vs_vwap_pct,2023,0.009473723031031214,0.026233789423025226,0.2877297328597094,-0.26153189816405753,0.24098044817164888
price_vs_vwap_pct,2024,0.015059787469487662,0.017591652301670768,0.196971621936661,-0.21179635153536258,0.21835886967019866
price_vs_vwap_pct,2025,0.012116433264585834,0.045490455957034395,0.20191706755321523,-0.2573671564530859,0.26577116166758774
price_vs_vwap_pct,2026,0.014047490950270622,0.07799151008515569,0.3038910323702217,-0.3894134993111911,0.4154918344831283
adx_14_15m,2010,23.83454430737547,20.71629581721767,11.233660841568293,10.759534059897229,42.84549467411402
adx_14_15m,2011,23.83802537421553,21.07825376061284,10.422175397609845,11.654720628479424,43.7193570482466
