feature,gain_rev,split_rev,gain_cont,split_cont,target,gain_total,split_total,gain_pct
price_vs_vwap_pct_abs,1846.1516649723053,23,1560.1701757907867,69,y_1r2_120m,3406.321840763092,92,29.725447784926402
atr14_at_entry,498.9471814632416,48,828.863596200943,75,y_1r2_120m,1327.8107776641846,123,11.587211010829538
price_vs_vwap_pct,882.9472579956055,40,423.5109724998474,69,y_1r2_120m,1306.4582304954529,109,11.400876878116723
adx_14_15m,573.9703228473663,39,631.535059928894,102,y_1r2_120m,1205.5053827762604,141,10.519906510694183
orb_range_sq,343.860689163208,34,423.80335903167725,67,y_1r2_120m,767.6640481948853,101,6.6990609366114064
orb_range_atr_ratio,236.90994787216187,23,403.670960187912,69,y_1r2_120m,640.5809080600739,92,5.590063189770328
breakout_strength_vs_orb,386.91821026802063,13,240.60048055648804,40,y_1r2_120m,627.5186908245087,53,5.476075059892332
breakout_strength_atr_ratio,166.4532504081726,27,361.87198996543884,63,y_1r2_120m,528.3252403736115,90,4.610458165828005
time_in_session_min,61.86266040802002,12,282.45261001586914,46,y_1r2_120m,344.31527042388916,58,3.0046854263909717
ema_slope_1h,28.14318037033081,6,193.91427898406982,9,y_1r2_120m,222.05745935440063,15,1.9377961689650371
session,110.03317880630493,11,100.37365007400513,11,y_1r2_120m,210.40682888031006,22,1.8361263256534996
breakout_strength,41.7233202457428,8,147.29628992080688,26,y_1r2_120m,189.01961016654968,34,1.6494896298683874
breakout_side,58.205101013183594,3,127.10710954666138,16,y_1r2_120m,185.31221055984497,19,1.6171368110277962
day_of_week,19.748000144958496,4,139.91401052474976,25,y_1r2_120m,159.66201066970825,29,1.393298984436409
atr14_sq,0.0,0,123.82973980903625,19,y_1r2_120m,123.82973980903625,19,1.0806067767483554
breakout_strength_sq,57.95231866836548,4,58.80126953125,7,y_1r2_120m,116.75358819961548,11,1.0188563653025189
adx_50_flag,56.13878154754639,5,27.01196002960205,4,y_1r2_120m,83.15074157714844,9,0.725619346196518
orb_tf,0.0,0,14.585900068283081,3,y_1r2_120m,14.585900068283081,3,0.12728462874159105
price_vs_vwap_pct_abs,1887.3413648605347,30,2233.7174961566925,157,y_1r2_180m,4121.058861017227,187,27.850146153786987
adx_14_15m,575.792534828186,38,1055.5081672668457,185,y_1r2_180m,1631.3007020950317,223,11.02434216698077
atr14_at_entry,523.7440714836121,50,1087.1643307209015,146,y_1r2_180m,1610.9084022045135,196,10.886530854035193
price_vs_vwap_pct,883.3758597373962,35,650.8906779289246,102,y_1r2_180m,1534.2665376663208,137,10.368584568657328
orb_range_atr_ratio,256.0181221961975,27,767.9733989238739,145,y_1r2_180m,1023.9915211200714,172,6.920142246255927
orb_range_sq,372.2719531059265,35,630.9404697418213,111,y_1r2_180m,1003.2124228477478,146,6.7797169469955145
breakout_strength_atr_ratio,151.47573041915894,25,604.3083910942078,117,y_1r2_180m,755.7841215133667,142,5.107594663101508
breakout_strength_vs_orb,329.6484456062317,12,354.58775067329407,70,y_1r2_180m,684.2361962795258,82,4.624073257083336
time_in_session_min,45.78198957443237,8,545.78289103508,109,y_1r2_180m,591.5648806095123,117,3.9977998228241267
day_of_week,41.99429941177368,7,295.484179019928,61,y_1r2_180m,337.47847843170166,68,2.2806820443619116
breakout_strength,33.98254990577698,6,260.64504981040955,48,y_1r2_180m,294.6275997161865,54,1.9910954902036628
session,132.91910934448242,10,136.06935942173004,23,y_1r2_180m,268.98846876621246,33,1.8178260542906297
atr14_sq,0.0,0,241.4137201309204,41,y_1r2_180m,241.4137201309204,41,1.6314756997952657
breakout_side,51.113800048828125,2,172.8609824180603,25,y_1r2_180m,223.97478246688843,27,1.5136232305417232
ema_slope_1h,33.878990173339844,7,187.41959929466248,11,y_1r2_180m,221.29858946800232,18,1.4955374985324692
breakout_strength_sq,57.12458038330078,4,108.74144983291626,19,y_1r2_180m,165.86603021621704,23,1.1209238545866969
adx_50_flag,37.6373496055603,4,33.99734973907471,6,y_1r2_180m,71.63469934463501,10,0.4841078260984184
orb_tf,0.0,0,15.655150413513184,4,y_1r2_180m,15.655150413513184,4,0.10579762186853131
price_vs_vwap_pct_abs,3223.0605084896088,98,3027.1191638708115,376,y_1r2_240m,6250.17967236042,474,24.218324245450344
adx_14_15m,1031.3235538005829,96,1771.779215812683,427,y_1r2_240m,2803.102769613266,523,10.861520040459286
atr14_at_entry,969.8290629386902,87,1611.1144760847092,317,y_1r2_240m,2580.9435390233994,404,10.000692902267074
price_vs_vwap_pct,1286.4976062774658,71,1205.9115144014359,271,y_1r2_240m,2492.4091206789017,342,9.657637924210798
orb_range_atr_ratio,597.8367323875427,76,1645.880720257759,399,y_1r2_240m,2243.717452645302,475,8.694002353826463
orb_range_sq,698.3444995880127,93,1221.3465900421143,294,y_1r2_240m,1919.691089630127,387,7.438458363902746
breakout_strength_atr_ratio,389.38008069992065,68,1283.6076011657715,321,y_1r2_240m,1672.9876818656921,389,6.482526945143989
breakout_strength_vs_orb,366.7205390930176,43,961.0862014293671,243,y_1r2_240m,1327.8067405223846,286,5.145012761708539
time_in_session_min,122.39026999473572,23,1005.4031575918198,259,y_1r2_240m,1127.7934275865555,282,4.36999707895821
breakout_strength,97.83135986328125,18,498.29303723573685,131,y_1r2_240m,596.1243970990181,149,2.309875027019078
atr14_sq,199.9068500995636,32,386.90224957466125,90,y_1r2_240m,586.8090996742249,122,2.2737799217096892
day_of_week,73.1351797580719,12,507.8366093635559,141,y_1r2_240m,580.9717891216278,153,2.2511613911881825
session,234.91777324676514,21,233.80979180335999,55,y_1r2_240m,468.7275650501251,76,1.8162351721446226
ema_slope_1h,94.7194185256958,9,297.81919753551483,41,y_1r2_240m,392.53861606121063,50,1.5210166716760165
breakout_side,175.8527603149414,17,190.94635939598083,29,y_1r2_240m,366.79911971092224,46,1.4212807438782078
breakout_strength_sq,94.37290000915527,7,173.66684126853943,36,y_1r2_240m,268.0397412776947,43,1.0386058809855436
adx_50_flag,41.01730036735535,8,51.19831037521362,11,y_1r2_240m,92.21561074256897,19,0.35731893777900725
orb_tf,3.9079599380493164,1,32.88177990913391,9,y_1r2_240m,36.78973984718323,10,0.1425536376922044
price_vs_vwap_pct_abs,2228.8277139663696,38,2155.4060686826706,160,y_1r2_60m,4384.23378264904,198,26.919524435259362
atr14_at_entry,565.6139600276947,67,1315.51540350914,159,y_1r2_60m,1881.1293635368347,226,11.550275459311061
price_vs_vwap_pct,1018.1747741699219,45,673.1917275190353,118,y_1r2_60m,1691.3665016889572,163,10.385117247028838
