target,mean_exp_policy,mean_wr_policy,mean_trades,worst_exp,best_exp
y_1r4_180m,1.220700521606862,0.44414010432137246,434.14285714285717,0.8936170212765957,1.5704989154013014
y_1r4_240m,1.2206367293126958,0.4441273458625391,423.0,0.8550106609808104,1.478723404255319
y_1r4_120m,1.1275005054389327,0.4255001010877865,436.7142857142857,0.9739478957915833,1.25
y_1r2_180m,1.0409630032899437,0.680321001096648,414.42857142857144,0.6875,1.442477876106195
y_1r4_close60m,1.0241207285836682,0.4048241457167336,428.57142857142856,0.6933867735470942,1.3014440433212995
y_1r2_120m,1.0205788779638902,0.67352629265463,416.2857142857143,0.6829268292682928,1.4078947368421053
y_1r2_240m,1.0170188464889143,0.6723396154963047,423.0,0.7454545454545454,1.4617067833698032
y_1r2_60m,0.9945217678151586,0.6648405892717195,422.0,0.476923076923077,1.4576659038901603
y_1r2_close60m,0.9682894566272374,0.6560964855424124,415.57142857142856,0.6779661016949151,1.3405172413793103
y_1r4_60m,0.9658736769836442,0.39317473539672887,438.0,0.7821782178217821,1.1266968325791855
