test_year,target,rr,n_events,n_trades,wr_rev_base,wr_cont_base,exp_rev_base_r,exp_cont_base_r,wr_policy,expectancy_policy_r
2020,y_1r2_60m,2.0,3189,488,0.31432303003918155,0.3326077492381367,-0.057030909882455405,-0.002176752285589889,0.6065573770491803,0.819672131147541
2020,y_1r4_60m,4.0,3189,505,0.16064431867653461,0.17326948193295602,-0.19677840661732693,-0.13365259033521992,0.3564356435643564,0.7821782178217821
2020,y_1r2_120m,2.0,3189,498,0.32128863735306923,0.33609055289508055,-0.036134087940792314,0.008271658685241712,0.6204819277108434,0.8614457831325303
2020,y_1r4_120m,4.0,3189,499,0.18545929473225947,0.19286025250326513,-0.07270352633870258,-0.03569873748367436,0.39478957915831664,0.9739478957915833
2020,y_1r2_180m,2.0,3189,483,0.3217239878101872,0.3378319547235525,-0.03482803656943845,0.013495864170657401,0.6438923395445134,0.9316770186335402
2020,y_1r4_180m,4.0,3189,470,0.19198955158902917,0.1976491075315629,-0.04005224205485414,-0.011754462342185468,0.37872340425531914,0.8936170212765957
2020,y_1r2_240m,2.0,3189,509,0.3217239878101872,0.3378319547235525,-0.03482803656943845,0.013495864170657401,0.593320235756385,0.7799607072691551
2020,y_1r4_240m,4.0,3189,469,0.195907705703091,0.20243796255986068,-0.020461471484545024,0.012189812799303423,0.37100213219616207,0.8550106609808104
2020,y_1r2_close60m,2.0,3137,479,0.3144626271561256,0.3308270676691729,-0.05661211853162318,-0.007518796992481258,0.6116910229645094,0.8350730688935282
2020,y_1r4_close60m,4.0,3137,499,0.1685095090667846,0.17691287041132242,-0.15745245466607694,-0.1154356479433879,0.33867735470941884,0.6933867735470942
2021,y_1r2_60m,2.0,3296,437,0.3409490333919156,0.3347978910369069,0.02284710017574687,0.004393673110720697,0.8192219679633868,1.4576659038901603
2021,y_1r4_60m,4.0,3296,472,0.1695957820738137,0.16827768014059755,-0.15202108963093153,-0.1586115992970123,0.4152542372881356,1.076271186440678
2021,y_1r2_120m,2.0,3296,456,0.3484182776801406,0.3396309314586995,0.04525483304042177,0.018892794376098476,0.8026315789473685,1.4078947368421053
2021,y_1r4_120m,4.0,3296,475,0.18936731107205623,0.19200351493848858,-0.05316344463971889,-0.039982425307557135,0.4442105263157895,1.2210526315789476
2021,y_1r2_180m,2.0,3296,452,0.3484182776801406,0.3396309314586995,0.04525483304042177,0.018892794376098476,0.8141592920353983,1.442477876106195
2021,y_1r4_180m,4.0,3296,461,0.19727592267135324,0.19727592267135324,-0.01362038664323384,-0.01362038664323384,0.5140997830802603,1.5704989154013014
2021,y_1r2_240m,2.0,3296,457,0.3484182776801406,0.3396309314586995,0.04525483304042177,0.018892794376098476,0.8205689277899344,1.4617067833698032
2021,y_1r4_240m,4.0,3296,504,0.2007908611599297,0.1977152899824253,0.003954305799648505,-0.011423550087873546,0.48214285714285715,1.4107142857142858
2021,y_1r2_close60m,2.0,3269,464,0.3392461197339246,0.33392461197339246,0.0177383592017738,0.0017738359201774356,0.7801724137931034,1.3405172413793103
2021,y_1r4_close60m,4.0,3269,470,0.1778270509977827,0.17560975609756097,-0.11086474501108645,-0.12195121951219523,0.40638297872340423,1.0319148936170213
2022,y_1r2_60m,2.0,3107,498,0.3542306006137659,0.31126698816308634,0.06269180184129763,-0.06619903551074102,0.678714859437751,1.036144578313253
2022,y_1r4_60m,4.0,3107,442,0.1981587023235423,0.1595791319596668,-0.009206488382288547,-0.202104340201666,0.4253393665158371,1.1266968325791855
2022,y_1r2_120m,2.0,3107,467,0.3572994300745287,0.31477422183252957,0.07189829022358607,-0.0556773345024113,0.6980728051391863,1.0942184154175592
2022,y_1r4_120m,4.0,3107,468,0.2227093380096449,0.17930732135028496,0.11354669004822449,-0.10346339324857523,0.4188034188034188,1.0940170940170941
2022,y_1r2_180m,2.0,3107,482,0.3577378342832091,0.31521262604121,0.07321350284962735,-0.05436212187637002,0.7033195020746889,1.1099585062240664
2022,y_1r4_180m,4.0,3107,477,0.22972380534853135,0.1867601928978518,0.1486190267426567,-0.06619903551074091,0.4528301886792453,1.2641509433962264
2022,y_1r2_240m,2.0,3107,484,0.35905304690925033,0.3156510302498904,0.07715914072775099,-0.053046909250328844,0.7045454545454546,1.1136363636363638
2022,y_1r4_240m,4.0,3107,470,0.23366944322665498,0.19114423498465585,0.16834721613327486,-0.04427882507672076,0.4957446808510638,1.478723404255319
2022,y_1r2_close60m,2.0,3032,463,0.3510258697591436,0.3095450490633363,0.05307760927743088,-0.07136485280999116,0.6889848812095032,1.0669546436285096
2022,y_1r4_close60m,4.0,3032,475,0.20785013380909903,0.16770740410347904,0.039250669045495123,-0.1614629794826048,0.4147368421052632,1.073684210526316
2023,y_1r2_60m,2.0,3096,514,0.3497340425531915,0.32890070921985815,0.049202127659574546,-0.013297872340425565,0.7509727626459144,1.2529182879377432
2023,y_1r4_60m,4.0,3096,560,0.20212765957446807,0.17154255319148937,0.010638297872340385,-0.14228723404255317,0.40535714285714286,1.0267857142857144
2023,y_1r2_120m,2.0,3096,517,0.3546099290780142,0.3333333333333333,0.06382978723404265,-1.1102230246251565e-16,0.7388781431334622,1.2166344294003868
2023,y_1r4_120m,4.0,3096,568,0.22916666666666666,0.19326241134751773,0.14583333333333326,-0.03368794326241131,0.43309859154929575,1.1654929577464788
2023,y_1r2_180m,2.0,3096,521,0.3550531914893617,0.3351063829787234,0.06515957446808518,0.005319148936170248,0.7504798464491362,1.2514395393474087
2023,y_1r4_180m,4.0,3096,571,0.23448581560283688,0.19858156028368795,0.1724290780141844,-0.007092198581560183,0.44308231173380036,1.2154115586690017
2023,y_1r2_240m,2.0,3096,509,0.35726950354609927,0.3355496453900709,0.07180851063829785,0.0066489361702127825,0.75049115913556,1.2514734774066798
2023,y_1r4_240m,4.0,3096,560,0.23803191489361702,0.20079787234042554,0.19015957446808507,0.003989361702127714,0.4392857142857143,1.1964285714285714
