target,rr,wr_rev,wr_cont,exp_rev,exp_cont,pass_rate,fail_mll_rate,score,median_pnl,avg_trades,windows,rev_q,cont_q,rev_adx,cont_adx,risk_per_r,profit_cap
y_1r2_close60m,2.0,0.33280757097791797,0.27996845425867506,-0.001577287066246158,-0.16009463722397477,0.8795180722891566,0.0,0.8795180722891566,5377.0,29.42168674698795,83,0.6,0.75,30,30,250.0,1400.0
y_1r4_180m,4.0,0.18174726989079562,0.16146645865834633,-0.09126365054602192,-0.19266770670826838,0.8795180722891566,0.0,0.8795180722891566,4189.0,42.144578313253014,83,0.6,0.6,30,30,100.0,1400.0
y_1r4_120m,4.0,0.18018720748829953,0.15990639625585024,-0.09906396255850236,-0.20046801872074882,0.8554216867469879,0.0,0.8554216867469879,4977.0,39.68674698795181,83,0.75,0.6,30,30,150.0,1400.0
y_1r4_240m,4.0,0.19110764430577223,0.16302652106084242,-0.04446177847113886,-0.18486739469578795,0.8433734939759037,0.0,0.8433734939759037,5241.0,38.04819277108434,83,0.75,0.6,30,100,200.0,1400.0
y_1r2_120m,2.0,0.33931357254290173,0.28081123244929795,0.017940717628705194,-0.15756630265210614,0.8192771084337349,0.0,0.8192771084337349,6127.0,29.397590361445783,83,0.6,0.75,30,30,250.0,1400.0
y_1r2_240m,2.0,0.33931357254290173,0.28159126365054604,0.017940717628705194,-0.15522620904836193,0.8072289156626506,0.0,0.8072289156626506,5937.0,24.746987951807228,83,0.75,0.75,30,30,250.0,1400.0
y_1r2_180m,2.0,0.33931357254290173,0.28159126365054604,0.017940717628705194,-0.15522620904836193,0.7951807228915663,0.0,0.7951807228915663,5319.0,28.27710843373494,83,0.75,0.75,30,30,200.0,1400.0
y_1r4_close60m,4.0,0.1695583596214511,0.15378548895899052,-0.15220820189274442,-0.23107255520504744,0.7349397590361446,0.0,0.7349397590361446,4519.0,24.289156626506024,83,0.75,0.75,30,30,200.0,1400.0
y_1r2_60m,2.0,0.3369734789391576,0.27769110764430577,0.01092043681747279,-0.16692667706708264,0.6265060240963856,0.0,0.6265060240963856,3312.0,43.63855421686747,83,0.75,0.6,30,100,150.0,1400.0
y_1r4_60m,4.0,0.15834633385335414,0.14586583463338534,-0.20826833073322926,-0.2706708268330733,0.5180722891566265,0.0,0.5180722891566265,3186.0,25.14457831325301,83,0.75,0.75,30,30,150.0,1400.0
