target,rr,pass_rate,fail_mll_rate,score,median_end_pnl,avg_trades,windows,rev_q,cont_q,rev_adx_min,cont_adx_max,risk_per_r_usd,daily_profit_cap,pass_2025,fail_mll_2025,pnl_2025,pass_2026,fail_mll_2026,pnl_2026
y_1r4_120m,4.0,0.012048192771084338,0.0,0.012048192771084338,910.0,34.27710843373494,83,0.6,0.75,40,30,100.0,1400.0,0.0,0.0,-341.0,0.01639344262295082,0.0,1307.0
y_1r2_240m,2.0,0.012048192771084338,0.0,0.012048192771084338,558.0,13.44578313253012,83,0.6,0.75,30,30,150.0,0.0,0.0,0.0,2196.0,0.01639344262295082,0.0,-171.0
y_1r2_60m,2.0,0.0,0.0,0.0,31.0,13.46987951807229,83,0.6,0.75,30,30,100.0,0.0,0.0,0.0,640.0,0.0,0.0,-318.0
y_1r2_120m,2.0,0.0,0.0,0.0,-336.0,8.53012048192771,83,0.6,0.75,40,30,100.0,0.0,0.0,0.0,1276.0,0.0,0.0,-439.0
y_1r2_180m,2.0,0.0,0.0,0.0,-45.0,14.590361445783133,83,0.6,0.75,30,30,100.0,0.0,0.0,0.0,640.0,0.0,0.0,-421.0
y_1r2_close60m,2.0,0.0,0.0,0.0,58.0,15.831325301204819,83,0.6,0.75,30,30,100.0,0.0,0.0,0.0,-45.0,0.0,0.0,-336.0
y_1r4_60m,4.0,0.012048192771084338,0.0963855421686747,-0.08433734939759037,307.0,25.650602409638555,83,0.6,0.75,30,30,100.0,1400.0,0.0,1.0,-1678.0,0.01639344262295082,0.0,1013.0
y_1r4_close60m,4.0,0.0,0.1686746987951807,-0.1686746987951807,146.0,22.433734939759034,83,0.6,0.75,30,30,100.0,0.0,0.0,1.0,-1090.0,0.0,0.0,249.0
y_1r4_180m,4.0,0.0,0.24096385542168675,-0.24096385542168675,1099.0,43.44578313253012,83,0.75,0.75,30,30,100.0,0.0,0.0,0.0,511.0,0.0,0.26229508196721313,2571.0
y_1r4_240m,4.0,0.012048192771084338,0.27710843373493976,-0.26506024096385544,247.0,39.81927710843374,83,0.6,0.75,40,30,100.0,1400.0,0.0,0.0,-195.0,0.01639344262295082,0.3770491803278688,-208.0
