target,rr,pass_rate,fail_mll_rate,score,median_end_pnl,avg_trades,windows,rev_q,cont_q,rev_adx_min,cont_adx_max,risk_per_r_usd,daily_profit_cap,pass_2025,fail_mll_2025,pnl_2025,pass_2026,fail_mll_2026,pnl_2026
y_1r4_240m,4.0,0.5903614457831325,0.0,0.5903614457831325,2614.0,48.08433734939759,83,0.75,0.75,30,30,100.0,1400.0,0.0,0.0,1702.0,0.7049180327868853,0.0,2777.0
y_1r2_60m,2.0,0.4939759036144578,0.0,0.4939759036144578,2682.0,38.18072289156626,83,0.75,0.6,30,100,150.0,1400.0,1.0,0.0,2979.0,0.6065573770491803,0.0,3789.0
y_1r2_180m,2.0,0.43373493975903615,0.0,0.43373493975903615,2133.0,35.75903614457831,83,0.75,0.6,30,100,150.0,1400.0,1.0,0.0,2853.0,0.45901639344262296,0.0,2421.0
y_1r2_120m,2.0,0.3855421686746988,0.0,0.3855421686746988,1836.0,33.7710843373494,83,0.75,0.6,30,100,150.0,1400.0,1.0,0.0,2538.0,0.45901639344262296,0.0,2025.0
y_1r2_close60m,2.0,0.3493975903614458,0.0,0.3493975903614458,2106.0,39.18072289156626,83,0.75,0.6,30,100,150.0,1400.0,1.0,0.0,3447.0,0.3442622950819672,0.0,2007.0
y_1r2_240m,2.0,0.27710843373493976,0.0,0.27710843373493976,1836.0,36.36144578313253,83,0.75,0.6,30,100,150.0,1400.0,0.3333333333333333,0.0,2079.0,0.36065573770491804,0.0,2178.0
y_1r4_120m,4.0,0.26506024096385544,0.012048192771084338,0.2530120481927711,2584.0,55.265060240963855,83,0.75,0.75,30,30,100.0,0.0,0.0,0.0,3496.0,0.3442622950819672,0.0,2541.0
y_1r4_180m,4.0,0.26506024096385544,0.024096385542168676,0.24096385542168677,3084.0,55.8433734939759,83,0.6,0.75,40,30,100.0,0.0,0.0,0.0,2569.0,0.36065573770491804,0.03278688524590164,3026.0
y_1r4_close60m,4.0,0.37349397590361444,0.13253012048192772,0.24096385542168672,2292.0,40.975903614457835,83,0.75,0.75,30,30,100.0,1400.0,0.0,1.0,-1283.0,0.45901639344262296,0.0,2586.0
y_1r4_60m,4.0,0.30120481927710846,0.18072289156626506,0.1204819277108434,2101.0,38.3855421686747,83,0.75,0.75,30,30,100.0,1400.0,0.0,1.0,-1180.0,0.4098360655737705,0.03278688524590164,2586.0
