target,rr,pass_rate,fail_mll_rate,score,median_end_pnl,avg_trades,windows,rev_q,cont_q,rev_adx_min,cont_adx_max,risk_per_r_usd,daily_profit_cap,pass_2025,fail_mll_2025,pnl_2025,pass_2026,fail_mll_2026,pnl_2026
y_1r2_120m,2.0,0.6626506024096386,0.0,0.6626506024096386,3150.0,37.19277108433735,83,0.75,0.6,30,100,150.0,1400.0,0.6666666666666666,0.0,2844.0,0.7213114754098361,0.0,3519.0
y_1r2_180m,2.0,0.5903614457831325,0.0,0.5903614457831325,2961.0,41.493975903614455,83,0.75,0.6,30,100,150.0,1400.0,1.0,0.0,2970.0,0.6721311475409836,0.0,3339.0
y_1r2_240m,2.0,0.5421686746987951,0.0,0.5421686746987951,2628.0,35.12048192771084,83,0.75,0.6,30,100,150.0,1400.0,0.6666666666666666,0.0,3141.0,0.5901639344262295,0.0,2628.0
y_1r4_180m,4.0,0.4578313253012048,0.0,0.4578313253012048,2262.0,48.1566265060241,83,0.75,0.75,30,30,100.0,1400.0,0.0,0.0,1305.0,0.6065573770491803,0.0,2792.0
y_1r2_close60m,2.0,0.6024096385542169,0.1686746987951807,0.4337349397590362,2630.0,30.698795180722893,83,0.75,0.6,30,100,250.0,1400.0,1.0,0.0,3362.0,0.5737704918032787,0.21311475409836064,1934.0
y_1r4_120m,4.0,0.42168674698795183,0.0,0.42168674698795183,2350.0,44.373493975903614,83,0.75,0.75,30,30,100.0,1400.0,0.0,0.0,217.0,0.5737704918032787,0.0,3056.0
y_1r4_close60m,4.0,0.4578313253012048,0.1566265060240964,0.3012048192771084,1992.0,37.16867469879518,83,0.6,0.75,30,30,150.0,1400.0,0.0,1.0,-228.0,0.47540983606557374,0.0,2130.0
y_1r2_60m,2.0,0.4939759036144578,0.24096385542168675,0.25301204819277107,2394.0,39.13253012048193,83,0.6,0.6,40,100,150.0,1400.0,0.3333333333333333,0.0,2241.0,0.6065573770491803,0.32786885245901637,2448.0
y_1r4_60m,4.0,0.3614457831325301,0.1566265060240964,0.20481927710843373,2589.0,33.24096385542169,83,0.75,0.75,30,30,150.0,1400.0,0.0,1.0,-534.0,0.4918032786885246,0.0,2772.0
y_1r4_240m,4.0,0.2289156626506024,0.08433734939759036,0.14457831325301204,1923.0,54.0722891566265,83,0.75,0.75,30,30,100.0,0.0,0.0,0.0,2893.0,0.3114754098360656,0.11475409836065574,2114.0
