target,rr,pass_rate,fail_mll_rate,score,median_end_pnl,avg_trades,windows,rev_q,cont_q,rev_adx_min,cont_adx_max,risk_per_r_usd,daily_profit_cap,pass_2025,fail_mll_2025,pnl_2025,pass_2026,fail_mll_2026,pnl_2026
y_1r4_180m,4.0,0.8192771084337349,0.0,0.8192771084337349,4089.0,43.71084337349398,83,0.75,0.75,30,30,150.0,1400.0,0.0,0.0,1014.0,0.9344262295081968,0.0,4395.0
y_1r2_240m,2.0,0.5783132530120482,0.0,0.5783132530120482,2628.0,37.433734939759034,83,0.75,0.6,30,100,150.0,1400.0,1.0,0.0,3735.0,0.639344262295082,0.0,2772.0
y_1r2_60m,2.0,0.5180722891566265,0.0,0.5180722891566265,2637.0,34.55421686746988,83,0.75,0.6,30,100,150.0,1400.0,1.0,0.0,4482.0,0.5081967213114754,0.0,2628.0
y_1r2_close60m,2.0,0.6987951807228916,0.24096385542168675,0.45783132530120485,3145.0,31.542168674698797,83,0.75,0.6,30,100,250.0,1400.0,1.0,0.0,4374.0,0.6557377049180327,0.32786885245901637,2901.0
y_1r4_240m,4.0,0.43373493975903615,0.0,0.43373493975903615,2011.0,56.506024096385545,83,0.6,0.75,40,30,100.0,1400.0,0.0,0.0,157.0,0.47540983606557374,0.0,2071.0
y_1r2_180m,2.0,0.5783132530120482,0.14457831325301204,0.4337349397590361,2259.0,41.27710843373494,83,0.75,0.6,30,100,150.0,1400.0,1.0,0.0,4644.0,0.5573770491803278,0.19672131147540983,2115.0
y_1r4_close60m,4.0,0.5542168674698795,0.1686746987951807,0.3855421686746988,2677.0,32.144578313253014,83,0.6,0.75,40,30,200.0,1400.0,0.0,1.0,-451.0,0.639344262295082,0.0,2707.0
y_1r4_120m,4.0,0.3132530120481928,0.0,0.3132530120481928,1807.0,43.903614457831324,83,0.75,0.75,30,30,100.0,1400.0,0.0,0.0,908.0,0.4262295081967213,0.0,2468.0
y_1r2_120m,2.0,0.5180722891566265,0.3614457831325301,0.1566265060240964,1889.0,26.518072289156628,83,0.75,0.6,30,100,250.0,1400.0,0.3333333333333333,0.0,1871.0,0.47540983606557374,0.4918032786885246,-63.0
y_1r4_60m,4.0,0.1566265060240964,0.07228915662650602,0.08433734939759037,1219.0,43.72289156626506,83,0.75,0.75,30,30,100.0,1400.0,0.0,1.0,-1371.0,0.21311475409836064,0.0,1453.0
