target,rr,pass_rate,fail_mll_rate,score,median_end_pnl,avg_trades,windows,rev_q,cont_q,rev_adx_min,cont_adx_max,risk_per_r_usd,daily_profit_cap,pass_2025,fail_mll_2025,pnl_2025,pass_2026,fail_mll_2026,pnl_2026
y_1r2_60m,2.0,0.0,0.0,0.0,67.0,17.048192771084338,83,0.6,0.75,30,30,100.0,0.0,0.0,0.0,-242.0,0.0,0.0,-515.0
y_1r2_120m,2.0,0.0,0.0,0.0,-215.0,8.289156626506024,83,0.6,0.75,40,30,100.0,0.0,0.0,0.0,-112.0,0.0,0.0,-215.0
y_1r2_180m,2.0,0.0,0.0,0.0,-224.0,12.771084337349398,83,0.6,0.75,30,30,100.0,0.0,0.0,0.0,-551.0,0.0,0.0,-318.0
y_1r2_240m,2.0,0.0,0.0,0.0,-206.0,8.831325301204819,83,0.6,0.75,40,30,100.0,0.0,0.0,0.0,85.0,0.0,0.0,-233.0
y_1r2_close60m,2.0,0.0,0.0,0.0,-345.0,13.795180722891565,83,0.6,0.75,30,30,100.0,0.0,0.0,0.0,-542.0,0.0,0.0,-654.0
y_1r4_60m,4.0,0.060240963855421686,0.25301204819277107,-0.19277108433734938,747.0,43.975903614457835,83,0.6,0.75,40,30,100.0,0.0,0.0,1.0,-77.0,0.08196721311475409,0.13114754098360656,1777.0
y_1r4_120m,4.0,0.14457831325301204,0.3855421686746988,-0.24096385542168677,-90.0,39.602409638554214,83,0.6,0.75,40,30,100.0,0.0,0.0,0.6666666666666666,-150.0,0.19672131147540983,0.45901639344262296,-1326.0
y_1r4_close60m,4.0,0.012048192771084338,0.26506024096385544,-0.2530120481927711,159.0,43.33734939759036,83,0.6,0.75,30,30,100.0,0.0,0.0,1.0,-283.0,0.01639344262295082,0.26229508196721313,41.0
y_1r4_180m,4.0,0.18072289156626506,0.4578313253012048,-0.27710843373493976,-223.0,41.78313253012048,83,0.6,0.75,30,30,100.0,1400.0,0.0,1.0,-1884.0,0.09836065573770492,0.5245901639344263,-341.0
y_1r4_240m,4.0,0.14457831325301204,0.4939759036144578,-0.3493975903614458,-1208.0,37.734939759036145,83,0.6,0.75,40,30,100.0,1400.0,0.0,1.0,-2075.0,0.19672131147540983,0.5573770491803278,-1369.0
