feature,gain,split
st_gap_ratio,747.971400976181,51
vwap_deviation_z_50,525.3429918289185,63
cci_abs,203.0316104888916,34
volatility_zscore,189.50257921218872,27
ct_vwap_slope_20_atr,160.53707003593445,32
efficiency_ratio,90.93837976455688,18
entry_adx,69.43350994586945,18
session_cluster,58.889530181884766,12
dist_to_ct_vwap_atr,43.568049907684326,11
