feature_set,valid_score,valid_trades,valid_pnl,valid_max_dd,oot_trades,oot_pnl,oot_max_dd,oot_win_rate,thresholds,params
vwap_slope_deviation,5.991315,38,2587.05,-430.8,15,4585.45,-437.6,0.5333,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_full,5.917522,32,2051.96,-345.76,15,6044.52,-634.85,0.6667,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_distance_deviation,5.620612,68,3415.14,-606.61,27,4408.87,-1741.86,0.4444,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_distance_deviation,5.551657,26,2294.5,-412.3,11,3001.28,-533.15,0.5455,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_no_side_flag,5.460256,47,2720.9,-497.31,17,4719.3,-316.72,0.7059,"{""0"": 0.45, ""1"": 0.55, ""2"": 0.5}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_full,5.406838,22,1782.31,-328.64,6,3118.16,-638.43,0.6667,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_slope_deviation,5.127297,48,2692.6,-524.15,16,3911.54,-821.79,0.5625,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_distance_deviation,5.10104,50,1996.7,-390.43,20,6224.47,-619.51,0.6,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.45}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_no_side_flag,4.886945,55,3037.09,-620.47,23,4495.42,-1145.71,0.4783,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_distance_deviation,4.789121,65,2065.5,-430.29,23,3969.11,-840.68,0.4783,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_full,4.780035,74,2706.36,-565.18,20,5197.78,-900.74,0.55,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_distance_deviation,4.776644,69,2780.58,-581.12,23,5691.39,-619.51,0.5217,"{""0"": 0.45, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_full,4.771886,20,1942.11,-405.99,3,-474.35,-477.93,0.3333,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_full,4.611709,108,3819.74,-827.27,36,4002.31,-1806.17,0.3611,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_no_side_flag,4.540305,41,2570.63,-565.18,15,6061.0,-900.74,0.6667,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,4.489681,102,5157.88,-1147.83,37,6402.11,-912.34,0.4595,"{""0"": 0.45, ""1"": 0.55, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_distance_deviation,4.473678,83,2709.17,-604.58,25,5211.62,-732.76,0.48,"{""0"": 0.5, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,4.438445,69,3031.68,-682.05,19,5802.2,-1073.56,0.5789,"{""0"": 0.5, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,4.271324,24,1303.48,-304.17,5,2322.5,-3.38,0.8,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 80, ""num_leaves"": 7}"
vwap_distance_deviation,4.264079,40,1744.52,-408.12,10,2728.73,-571.09,0.5,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_distance_deviation,4.256013,23,1610.22,-377.34,4,1876.79,-245.05,0.75,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_distance_deviation,4.213158,47,2086.44,-494.22,17,1030.65,-2153.16,0.3529,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_slope_deviation,4.20339,20,766.32,-181.31,9,989.83,-523.3,0.4444,"{""0"": 0.45, ""1"": 0.5, ""2"": 0.55}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_full,4.177882,96,4504.76,-1077.24,38,6669.59,-571.55,0.4737,"{""0"": 0.45, ""1"": 0.55, ""2"": 0.5}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_full,4.177729,90,2718.49,-649.71,29,4772.54,-1032.7,0.5172,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_full,4.113763,37,2139.28,-519.03,16,4924.14,-499.88,0.625,"{""0"": 0.5, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_full,4.083207,123,3754.55,-918.51,33,7753.21,-1073.56,0.5455,"{""0"": 0.5, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
