feature_set,valid_score,valid_trades,valid_pnl,valid_max_dd,oot_trades,oot_pnl,oot_max_dd,oot_win_rate,thresholds,params
vwap_full,2.826203,52,2111.23,-746.02,16,4556.47,-732.41,0.5625,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_no_side_flag,2.814283,99,2574.14,-913.67,28,4070.49,-1831.19,0.4286,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_slope_deviation,2.813915,64,2185.68,-775.74,20,4493.21,-609.5,0.55,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_slope_deviation,2.803721,75,2303.93,-820.74,22,4752.38,-1214.63,0.4545,"{""0"": 0.5, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_full,2.798564,24,970.43,-345.76,12,3429.79,-667.91,0.5,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.45}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_no_side_flag,2.760602,57,2063.55,-746.5,15,3002.05,-900.74,0.5333,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,2.753801,49,1865.37,-676.38,14,5105.61,-477.93,0.7143,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_distance_deviation,2.725447,52,2428.21,-889.94,20,5274.66,-640.0,0.5,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 7}"
vwap_no_side_flag,2.710327,79,1683.33,-620.08,27,5697.17,-619.51,0.5185,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.45}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_distance_deviation,2.67009,95,2976.75,-1113.85,32,6136.79,-1311.22,0.4688,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_distance_deviation,2.641573,44,1308.16,-494.22,13,3260.89,-649.31,0.4615,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_full,2.625046,23,865.32,-328.64,6,3118.16,-638.43,0.6667,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_full,2.61777,33,1907.15,-727.54,14,4689.44,-1087.68,0.5714,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_slope_deviation,2.599969,27,1323.67,-508.11,4,1569.19,-456.76,0.5,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_full,2.599404,46,2031.98,-780.71,19,4263.04,-439.98,0.4737,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.45}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,2.577891,169,4068.35,-1577.17,54,6285.22,-1086.03,0.463,"{""0"": 0.45, ""1"": 0.5, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_no_side_flag,2.573297,55,1743.1,-676.38,19,5197.46,-477.93,0.6316,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_slope_deviation,2.568114,66,2349.49,-913.87,23,4945.5,-1461.26,0.4783,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_full,2.54566,81,1540.99,-604.34,24,5066.02,-1162.89,0.5,"{""0"": 0.5, ""1"": 0.4, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_no_side_flag,2.489208,41,1686.14,-676.38,11,3857.98,-305.8,0.6364,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_slope_deviation,2.47538,60,2247.62,-906.99,20,3499.22,-1294.16,0.45,"{""0"": 0.5, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_distance_deviation,2.44914,50,1593.68,-649.71,15,5463.54,-473.57,0.5333,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_no_side_flag,2.445486,63,1612.48,-658.37,20,6928.96,-587.66,0.65,"{""0"": 0.45, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,2.43772,68,2546.93,-1043.8,23,5369.73,-1461.26,0.5217,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_slope_deviation,2.425509,80,2546.93,-1049.06,26,3314.63,-1156.61,0.5385,"{""0"": 0.5, ""1"": 0.55, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_full,2.423892,20,1200.36,-494.22,4,1975.04,0.0,1.0,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_no_side_flag,2.421513,50,1626.07,-670.51,19,5581.83,-720.48,0.5789,"{""0"": 0.5, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_slope_deviation,2.404082,31,1672.76,-694.8,8,2768.14,-474.14,0.625,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_slope_deviation,2.40279,57,2065.39,-858.58,21,5342.96,-1329.69,0.5238,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_no_side_flag,2.393485,73,2194.85,-916.01,20,5136.89,-900.74,0.55,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_distance_deviation,2.391187,31,974.6,-406.58,15,5265.05,-465.27,0.5333,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.5}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,2.379861,69,2062.53,-865.66,23,4373.07,-1399.07,0.4348,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_no_side_flag,2.372101,51,1543.55,-649.71,16,4441.36,-434.22,0.5625,"{""0"": 0.5, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_distance_deviation,2.352704,65,1491.92,-633.13,24,5135.7,-900.74,0.5417,"{""0"": 0.45, ""1"": 0.55, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_full,2.322934,114,3125.74,-1344.6,39,3543.55,-1622.12,0.3846,"{""0"": 0.55, ""1"": 0.55, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
baseline_only,2.296488,21,721.97,-313.38,2,-182.78,-182.78,0.0,"{""0"": 0.55, ""1"": 0.4, ""2"": 0.5}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 7}"
vwap_distance_deviation,2.287004,51,1132.57,-494.22,18,5419.06,-434.22,0.5556,"{""0"": 0.5, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_no_side_flag,2.245189,39,1635.71,-727.54,12,5113.36,-611.5,0.6667,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_full,2.238479,123,3065.53,-1368.47,38,4538.98,-1559.09,0.4211,"{""0"": 0.55, ""1"": 0.55, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_no_side_flag,2.212152,62,1233.12,-556.43,23,6181.06,-439.98,0.5652,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.5}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_distance_deviation,2.201736,66,2282.98,-1035.9,22,5700.14,-900.74,0.5,"{""0"": 0.5, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_distance_deviation,2.177037,85,2271.02,-1042.17,29,3303.02,-2544.73,0.4483,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_full,2.171056,50,1485.35,-683.16,19,5260.85,-988.89,0.5263,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_full,2.135929,102,2573.73,-1203.97,36,3997.32,-1816.97,0.4444,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_slope_deviation,2.083959,64,2323.26,-1113.83,24,4658.58,-1748.17,0.4583,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_distance_deviation,2.062327,80,2130.26,-1031.94,26,5224.84,-1461.26,0.5385,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_full,2.048041,67,1972.98,-962.35,22,5230.28,-1442.37,0.5,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_no_side_flag,2.036246,46,1273.0,-624.17,13,3708.02,-474.14,0.6154,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_distance_deviation,2.032292,77,1835.2,-902.02,24,5525.02,-1120.46,0.5417,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_full,2.031027,101,1947.43,-957.84,35,5441.47,-900.74,0.4286,"{""0"": 0.55, ""1"": 0.55, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_slope_deviation,2.027456,49,1283.42,-632.02,17,4150.21,-950.3,0.5294,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_distance_deviation,2.014833,37,1393.62,-690.68,11,4798.42,-368.31,0.7273,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_distance_deviation,1.989619,95,2734.99,-1373.63,29,5361.48,-994.64,0.4828,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
baseline_only,1.982155,25,645.35,-324.58,7,2730.83,-364.45,0.5714,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_full,1.961481,63,1794.5,-913.87,23,3073.25,-1610.29,0.3913,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_slope_deviation,1.958808,75,1885.47,-961.56,23,4272.68,-991.99,0.5217,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_full,1.940795,88,1576.1,-811.09,29,4553.27,-1008.49,0.4828,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_slope_deviation,1.927668,89,1722.41,-892.52,25,5544.68,-931.53,0.48,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.5}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_distance_deviation,1.921091,28,1161.53,-603.62,13,2445.05,-1107.1,0.4615,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 31}"
vwap_no_side_flag,1.896765,70,1981.74,-1043.8,23,5369.73,-1461.26,0.5217,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_no_side_flag,1.864321,34,758.76,-405.99,12,4817.15,-574.89,0.6667,"{""0"": 0.55, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 15}"
vwap_no_side_flag,1.815476,35,1568.19,-862.79,12,4215.81,-342.01,0.75,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_distance_deviation,1.799523,26,891.16,-494.22,5,1397.28,-628.68,0.4,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_distance_deviation,1.797675,102,2016.92,-1120.96,29,3948.69,-2279.46,0.4828,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_full,1.78847,35,1158.66,-646.85,8,4626.52,-466.52,0.875,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_slope_deviation,1.74338,31,1277.2,-731.6,10,3415.46,-748.37,0.6,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_no_side_flag,1.735196,26,918.63,-528.41,6,1125.02,-477.93,0.6667,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_slope_deviation,1.728029,55,1644.41,-950.61,16,3825.92,-1012.26,0.5,"{""0"": 0.5, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_no_side_flag,1.688523,53,1841.25,-1089.45,18,5371.24,-808.76,0.5556,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_slope_deviation,1.659509,80,1656.19,-997.0,27,5271.73,-1373.75,0.5185,"{""0"": 0.45, ""1"": 0.45, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_full,1.610565,77,1861.91,-1155.06,24,4757.26,-1076.62,0.4583,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_full,1.594595,55,1210.68,-758.24,19,5433.02,-434.22,0.5789,"{""0"": 0.55, ""1"": 0.55, ""2"": 0.45}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 31}"
vwap_full,1.573091,74,1619.56,-1028.54,23,4681.13,-1076.62,0.4348,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
vwap_full,1.571597,99,2022.19,-1285.71,30,5275.39,-2623.99,0.5,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
vwap_slope_deviation,1.544878,59,1636.86,-1058.54,19,5416.86,-821.79,0.5263,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_slope_deviation,1.497589,38,1251.46,-834.65,11,3283.63,-814.07,0.5455,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_no_side_flag,1.492875,64,1558.8,-1043.16,20,6009.19,-821.79,0.6,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 20, ""num_leaves"": 7}"
vwap_full,1.475603,65,1305.2,-883.52,22,2708.39,-2830.31,0.4091,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 7}"
vwap_slope_deviation,1.397458,22,1030.15,-736.16,4,617.76,-550.85,0.5,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 5.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_distance_deviation,1.371119,37,892.9,-650.22,13,4793.75,-609.5,0.6154,"{""0"": 0.5, ""1"": 0.45, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 0.0, ""learning_rate"": 0.03, ""min_data_in_leaf"": 40, ""num_leaves"": 7}"
baseline_only,1.291423,75,1411.5,-1091.98,28,4963.97,-873.55,0.4643,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 7}"
baseline_only,1.282522,38,1091.76,-850.26,9,3636.56,-342.01,0.5556,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 80, ""num_leaves"": 31}"
vwap_slope_deviation,1.280683,60,1114.86,-869.52,16,3330.46,-943.12,0.5,"{""0"": 0.45, ""1"": 0.5, ""2"": 0.4}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.05, ""min_data_in_leaf"": 40, ""num_leaves"": 15}"
vwap_slope_deviation,1.259786,39,1052.74,-834.65,11,2461.55,-547.56,0.5455,"{""0"": 0.45, ""1"": 0.4, ""2"": 0.35}","{""bagging_fraction"": 0.85, ""feature_fraction"": 0.85, ""lambda_l2"": 1.0, ""learning_rate"": 0.02, ""min_data_in_leaf"": 80, ""num_leaves"": 15}"
