account,windows,pass_rate,fail_mll_rate,score,avg_end_pnl,median_end_pnl,avg_trades,avg_pass_day_index,avg_consistency_on_pass,rev_q,cont_q,rev_strong_q,cont_strong_q,rev_adx_min,cont_adx_max,daily_stop_usd,daily_profit_cap_usd,risk_per_r_usd
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,30,0.0,0.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,30,0.0,2800.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,30,1500.0,0.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,30,1500.0,2800.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,50,0.0,0.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,50,0.0,2800.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,50,1500.0,0.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,50,1500.0,2800.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,100,0.0,0.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,100,0.0,2800.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,100,1500.0,0.0,200.0
100K,578,0.01730103806228374,0.0,0.01730103806228374,520.9100346020762,390.0,16.697231833910035,,0.32152083348893945,0.6,0.9,0.75,0.75,40,100,1500.0,2800.0,200.0
100K,578,0.012110726643598616,0.0,0.012110726643598616,703.8217993079585,453.0,10.157439446366782,,0.359715525401149,0.75,0.9,0.75,0.75,30,30,0.0,0.0,300.0
100K,578,0.012110726643598616,0.0,0.012110726643598616,703.8217993079585,453.0,10.157439446366782,,0.359715525401149,0.75,0.9,0.75,0.75,30,30,0.0,2800.0,300.0
