policy,cum_net_r,max_dd_r,loss_events
always_rev,-363.3699999999821,431.8799999999826,3525
always_cont,-249.36999999996738,256.9199999999676,3487
max_prob,35.63000000000575,151.02999999999773,3392
dynamic_policy,270.1800000000118,93.18999999999784,1342
