module,n_deltas,match_pct_lt_001,mean_abs_delta,n_features
orb_context,3787,97.30657512542909,0.05230139932711891,7
scale_invariant,3787,100.0,1.8625642045718355e-06,7
volatility_normalized,2705,100.0,0.0,5
pre_breakout_profile,2705,98.63216266173752,0.0034062975382345285,5
session_momentum,2164,100.0,4.466777939914476e-06,4
interaction,2705,100.0,2.0015746336404313e-06,5
macro,2164,90.5268022181146,0.008296667507329837,4
core,1623,100.0,0.0,3
