event_idx,date,session,feature,batch,live,delta
1,2026-01-29,tokyo,mac_dxy_trend,-1.0,-1.0,0.0
1,2026-01-29,tokyo,mac_oil_volatility,0.03496280685067177,0.034962808360734954,1.510063185605759e-09
1,2026-01-29,tokyo,mac_spx_regime,1.0,1.0,0.0
1,2026-01-29,tokyo,mac_us10y_change,0.023999691009521484,-0.023999691009521484,-0.04799938201904297
1,2026-01-29,tokyo,orb_range_atr_ratio,6.7538933753967285,6.753893451972422,7.657569334185155e-08
1,2026-01-29,tokyo,orb_range_percentile_20d,1.0,1.0,0.0
1,2026-01-29,tokyo,orb_range_sq,3375.610107421875,3375.6099999999365,-0.00010742193853729987
1,2026-01-29,tokyo,pre_bo_bullish_ratio,0.5,0.5,0.0
1,2026-01-29,tokyo,pre_bo_compression_ratio,1.5387263298034668,1.538726333907065,4.103598127969121e-09
1,2026-01-29,tokyo,pre_bo_drift_atr,2.6736583709716797,2.6736583403776804,-3.05939993339166e-08
1,2026-01-29,tokyo,pre_bo_inside_bar_flag,0.0,0.0,0.0
1,2026-01-29,tokyo,pre_bo_last_candle_range_ratio,4.103484153747559,4.103484322405765,1.6865820651190688e-07
1,2026-01-29,tokyo,price_vs_vwap_pct,0.5499266386032104,0.5499266562222618,1.7619051329020863e-08
1,2026-01-29,tokyo,price_vs_vwap_pct_abs,0.5499266386032104,0.5499266562222618,1.7619051329020863e-08
1,2026-01-29,tokyo,sm_first_30m_direction,-1.546072006225586,-1.5460719968271144,9.398471556565369e-09
1,2026-01-29,tokyo,sm_first_30m_range,6.7538933753967285,6.753893459823555,8.442682641884858e-08
1,2026-01-29,tokyo,sm_pre_breakout_volume_ratio,0.7893381118774414,0.7893381132576511,1.3802097242887612e-09
1,2026-01-29,tokyo,sm_pre_breakout_volume_z,-0.3821815252304077,-0.38217565447709817,5.870753309544785e-06
1,2026-01-29,tokyo,time_in_session_min,34.0,34.0,0.0
1,2026-01-29,tokyo,vwap_at_breakout,5518.8505859375,5518.850370694475,-0.0002152430251953774
2,2026-01-29,tokyo,breakout_strength,3.0,3.0,0.0
2,2026-01-29,tokyo,atr14_at_entry,8.322671225542324,8.322671225542324,0.0
2,2026-01-29,tokyo,breakout_side,1.0,1.0,0.0
2,2026-01-29,tokyo,adx_14_15m,48.28928756713867,48.28928770451919,1.373805176285714e-07
2,2026-01-29,tokyo,adx_50_flag,0.0,0.0,0.0
2,2026-01-29,tokyo,atr14_percentile_20d,1.0,1.0,0.0
2,2026-01-29,tokyo,atr14_sq,69.26685333251953,69.26685632847017,2.9959506377963407e-06
2,2026-01-29,tokyo,atr14_zscore_20d,6.6570623869232115,6.6570623869232115,0.0
2,2026-01-29,tokyo,breakout_strength_atr_ratio,0.36046120524406433,0.3604611926983696,-1.254569470532374e-08
2,2026-01-29,tokyo,breakout_strength_percentile_20d,0.7,0.7,0.0
2,2026-01-29,tokyo,breakout_strength_sq,9.0,9.0,0.0
2,2026-01-29,tokyo,breakout_strength_vs_orb,0.05163511261343956,0.051635111867188936,-7.462506237954081e-10
2,2026-01-29,tokyo,breakout_strength_zscore_10d,0.09364432110829435,0.09364432110829435,0.0
2,2026-01-29,tokyo,day_of_week,3.0,3.0,0.0
2,2026-01-29,tokyo,ema_slope_1h,1.0,0.0,-1.0
2,2026-01-29,tokyo,int_adx_x_orb_range,337.1042175292969,337.10422245817796,4.928881082832959e-06
2,2026-01-29,tokyo,int_atr14_x_adx,401.8958740234375,401.8958652803366,-8.743100920582947e-06
2,2026-01-29,tokyo,int_breakout_strength_x_range,174.3000030517578,174.29999999999836,-3.051759449590463e-06
2,2026-01-29,tokyo,int_breakout_strength_x_session,153.0,153.0,0.0
2,2026-01-29,tokyo,int_vwap_distance_x_atr14,2.8825955390930176,2.882595422849518,-1.1624349971484094e-07
2,2026-01-29,tokyo,mac_dxy_trend,-1.0,-1.0,0.0
2,2026-01-29,tokyo,mac_oil_volatility,0.03496280685067177,0.034962808360734954,1.510063185605759e-09
2,2026-01-29,tokyo,mac_spx_regime,1.0,1.0,0.0
2,2026-01-29,tokyo,mac_us10y_change,0.023999691009521484,-0.023999691009521484,-0.04799938201904297
2,2026-01-29,tokyo,orb_range_atr_ratio,6.980931758880615,6.98093176525836,6.377744554697529e-09
2,2026-01-29,tokyo,orb_range_percentile_20d,1.0,1.0,0.0
2,2026-01-29,tokyo,orb_range_sq,3375.610107421875,3375.6099999999365,-0.00010742193853729987
2,2026-01-29,tokyo,pre_bo_bullish_ratio,0.75,0.75,0.0
2,2026-01-29,tokyo,pre_bo_compression_ratio,1.2581756114959717,1.2581755593803812,-5.211559050977144e-08
2,2026-01-29,tokyo,pre_bo_drift_atr,1.0813835859298706,1.0813835793944317,-6.5354388567584465e-09
2,2026-01-29,tokyo,pre_bo_inside_bar_flag,1.0,1.0,0.0
2,2026-01-29,tokyo,pre_bo_last_candle_range_ratio,2.727489709854126,2.7274896946948224,-1.515930359019535e-08
2,2026-01-29,tokyo,price_vs_vwap_pct,0.346354603767395,0.3463545951452241,-8.622170921679384e-09
2,2026-01-29,tokyo,price_vs_vwap_pct_abs,0.346354603767395,0.3463545951452241,-8.622170921679384e-09
2,2026-01-29,tokyo,sm_first_30m_direction,-1.5980446338653564,-1.5980446228829042,1.0982452280927646e-08
2,2026-01-29,tokyo,sm_first_30m_range,6.980931758880615,6.98093177364621,1.4765594968935147e-08
2,2026-01-29,tokyo,sm_pre_breakout_volume_ratio,0.7988304495811462,0.7988304513166392,1.7354929715551748e-09
2,2026-01-29,tokyo,sm_pre_breakout_volume_z,-0.37853527069091797,-0.3785287430142829,6.527676635059709e-06
2,2026-01-29,tokyo,time_in_session_min,51.0,51.0,0.0
2,2026-01-29,tokyo,vwap_at_breakout,5524.5654296875,5524.56541382737,-1.5860129678912926e-05
3,2026-01-29,london,breakout_strength,6.800000000000182,6.800000000000182,0.0
3,2026-01-29,london,atr14_at_entry,5.796470326686558,5.796470326686558,0.0
3,2026-01-29,london,breakout_side,-1.0,-1.0,0.0
3,2026-01-29,london,adx_14_15m,27.559118270874023,27.559118590521663,3.1964763991254586e-07
3,2026-01-29,london,adx_50_flag,0.0,0.0,0.0
3,2026-01-29,london,atr14_percentile_20d,1.0,1.0,0.0
3,2026-01-29,london,atr14_sq,33.59906768798828,33.59906824815777,5.601694894608045e-07
3,2026-01-29,london,atr14_zscore_20d,5.12498477414696,5.12498477414696,0.0
3,2026-01-29,london,breakout_strength_atr_ratio,1.1731277704238892,1.1731277148029489,-5.562094029798459e-08
3,2026-01-29,london,breakout_strength_percentile_20d,1.0,1.0,0.0
3,2026-01-29,london,breakout_strength_sq,46.2400016784668,46.240000000002475,-1.67846432219676e-06
3,2026-01-29,london,breakout_strength_vs_orb,0.47887325286865234,0.47887323909940394,-1.3769248408124213e-08
3,2026-01-29,london,breakout_strength_zscore_10d,8.72922983727171,8.72922983727171,0.0
3,2026-01-29,london,day_of_week,3.0,3.0,0.0
3,2026-01-29,london,ema_slope_1h,1.0,0.0,-1.0
3,2026-01-29,london,int_adx_x_orb_range,67.51341247558594,67.51341096469828,-1.5108876567637708e-06
3,2026-01-29,london,int_atr14_x_adx,159.74562072753906,159.7456131395947,-7.587944367060118e-06
3,2026-01-29,london,int_breakout_strength_x_range,96.55999755859375,96.56000000000135,2.4414076023049347e-06
3,2026-01-29,london,int_breakout_strength_x_session,108.80000305175781,108.80000000000291,-3.0517549021169543e-06
3,2026-01-29,london,int_vwap_distance_x_atr14,1.3570404052734375,1.35704044431102,3.903758249990119e-08
3,2026-01-29,london,mac_dxy_trend,-1.0,-1.0,0.0
3,2026-01-29,london,mac_oil_volatility,0.03496280685067177,0.034962808360734954,1.510063185605759e-09
3,2026-01-29,london,mac_spx_regime,1.0,1.0,0.0
3,2026-01-29,london,mac_us10y_change,0.023999691009521484,-0.023999691009521484,-0.04799938201904297
3,2026-01-29,london,orb_range_atr_ratio,2.4497666358947754,2.4497666985590025,6.266422714062969e-08
3,2026-01-29,london,orb_range_percentile_20d,0.8947368421052632,0.8947368421052632,0.0
3,2026-01-29,london,orb_range_sq,201.63999938964844,201.63999999999484,6.103464045281726e-07
3,2026-01-29,london,pre_bo_bullish_ratio,0.25,0.25,0.0
3,2026-01-29,london,pre_bo_compression_ratio,3.7042253017425537,3.7042253521127493,5.037019557008193e-08
3,2026-01-29,london,pre_bo_drift_atr,7.728841304779053,7.7288414285058975,1.237268447695783e-07
3,2026-01-29,london,pre_bo_inside_bar_flag,0.0,0.0,0.0
3,2026-01-29,london,pre_bo_last_candle_range_ratio,4.934037208557129,4.9340371619480035,-4.660912544807161e-08
