feature,importance,signed_value,model,target
overnight_range_pts,0.7020499286158023,-0.7020499286158023,logistic,success_2r
or_low_to_overnight_low_pts,0.6087305089919626,0.6087305089919626,logistic,success_2r
or_high_to_overnight_high_pts,0.5947630161123182,0.5947630161123182,logistic,success_2r
atr14_daily_range_pts,0.5546728323521891,-0.5546728323521891,logistic,success_2r
pre_60m_realized_vol_pts,0.4183165218646975,0.4183165218646975,logistic,success_2r
orb_range_to_atr14,0.359800667755279,-0.359800667755279,logistic,success_2r
signal_minutes_from_open,0.3477678906318509,-0.3477678906318509,logistic,success_2r
signal_risk_to_atr14,0.3002783532671234,-0.3002783532671234,logistic,success_2r
breakout_range_pts,0.20727459596705336,0.20727459596705336,logistic,success_2r
breakout_volume,0.20352967284410467,0.20352967284410467,logistic,success_2r
side_is_up,0.19764707679245294,-0.19764707679245294,logistic,success_2r
breakout_volume_to_or_mean,0.19277993906031768,-0.19277993906031768,logistic,success_2r
atr5_daily_range_pts,0.14006962729817188,0.14006962729817188,logistic,success_2r
atr20_daily_range_pts,0.13743626935866549,0.13743626935866549,logistic,success_2r
signal_close_dist_to_vwap_pts,0.13615629939314947,-0.13615629939314947,logistic,success_2r
overnight_return_pts,0.13360890712057763,0.13360890712057763,logistic,success_2r
prior_day_range_pts,0.12808454137038672,0.12808454137038672,logistic,success_2r
or_close_dist_to_or_vwap_pts,0.12095814689456454,0.12095814689456454,logistic,success_2r
vwap_slope_or_to_signal_pts,0.11762232646957578,-0.11762232646957578,logistic,success_2r
breakout_volume_to_pre60_mean,0.10594959376789277,0.10594959376789277,logistic,success_2r
breakout_body_pts,0.10192815812991599,-0.10192815812991599,logistic,success_2r
pre_60m_return_pts,0.1003986816035161,0.1003986816035161,logistic,success_2r
prior_day_trend_pts,0.09842155772893192,0.09842155772893192,logistic,success_2r
breakout_close_position,0.08436791388341826,-0.08436791388341826,logistic,success_2r
side_distance_to_prior_extreme_pts,0.07234854521414168,0.07234854521414168,logistic,success_2r
or_mid_to_prior_close_pts,0.07093019664495478,-0.07093019664495478,logistic,success_2r
pre_60m_range_pts,0.05166755923200174,-0.05166755923200174,logistic,success_2r
prior_close_gap_pts,0.042383985130948175,-0.042383985130948175,logistic,success_2r
breakout_close_distance_to_orb,0.0401187428533955,-0.0401187428533955,logistic,success_2r
side_distance_to_overnight_extreme_pts,0.039313761851534984,-0.039313761851534984,logistic,success_2r
breakout_close_distance_pts,0.02738029479458148,0.02738029479458148,logistic,success_2r
breakout_wick_against_pts,0.00036434300776593963,-0.00036434300776593963,logistic,success_2r
side_aligned_with_vwap,0.0,0.0,logistic,success_2r
signal_risk_to_atr14,299.0710144042969,,lgbm_shallow,success_2r
signal_minutes_from_open,188.8031997680664,,lgbm_shallow,success_2r
signal_close_dist_to_vwap_pts,76.6323013305664,,lgbm_shallow,success_2r
breakout_volume,24.13450050354004,,lgbm_shallow,success_2r
or_close_dist_to_or_vwap_pts,13.513699531555176,,lgbm_shallow,success_2r
prior_day_range_pts,0.0,,lgbm_shallow,success_2r
pre_60m_range_pts,0.0,,lgbm_shallow,success_2r
orb_range_to_atr14,0.0,,lgbm_shallow,success_2r
atr5_daily_range_pts,0.0,,lgbm_shallow,success_2r
pre_60m_realized_vol_pts,0.0,,lgbm_shallow,success_2r
pre_60m_return_pts,0.0,,lgbm_shallow,success_2r
vwap_slope_or_to_signal_pts,0.0,,lgbm_shallow,success_2r
side_aligned_with_vwap,0.0,,lgbm_shallow,success_2r
overnight_range_pts,0.0,,lgbm_shallow,success_2r
overnight_return_pts,0.0,,lgbm_shallow,success_2r
atr20_daily_range_pts,0.0,,lgbm_shallow,success_2r
atr14_daily_range_pts,0.0,,lgbm_shallow,success_2r
or_low_to_overnight_low_pts,0.0,,lgbm_shallow,success_2r
