feature,importance,signed_value,model,target
overnight_range_pts,0.6703965669374081,-0.6703965669374081,logistic,success_2r
atr14_daily_range_pts,0.6323342174821199,-0.6323342174821199,logistic,success_2r
dc_spy_realized_vol_20d,0.6127571310214837,-0.6127571310214837,logistic,success_2r
or_high_to_overnight_high_pts,0.5792131452655551,0.5792131452655551,logistic,success_2r
or_low_to_overnight_low_pts,0.557209026758372,0.557209026758372,logistic,success_2r
dc_vix_prev_close,0.49480420481389603,0.49480420481389603,logistic,success_2r
dc_spy_dist_sma20,0.47946165090776843,-0.47946165090776843,logistic,success_2r
atr20_daily_range_pts,0.4255623226183284,0.4255623226183284,logistic,success_2r
pre_60m_realized_vol_pts,0.4006183175475793,0.4006183175475793,logistic,success_2r
orb_range_to_atr14,0.3796382190921245,-0.3796382190921245,logistic,success_2r
dc_qqq_dist_sma50,0.37735605236129377,-0.37735605236129377,logistic,success_2r
signal_minutes_from_open,0.3501122843560144,-0.3501122843560144,logistic,success_2r
dc_qqq_dist_sma20,0.3299874950413635,0.3299874950413635,logistic,success_2r
dc_spy_dist_sma50,0.3113568512808121,0.3113568512808121,logistic,success_2r
dc_vix_change_1d,0.28700177650802433,-0.28700177650802433,logistic,success_2r
signal_risk_to_atr14,0.284585620727291,-0.284585620727291,logistic,success_2r
dc_tnx_prev_close,0.26318248296910746,0.26318248296910746,logistic,success_2r
side_is_up,0.25087596240454796,-0.25087596240454796,logistic,success_2r
dc_qqq_beta_residual_20d,0.24493918389094738,0.24493918389094738,logistic,success_2r
dc_qqq_minus_spy_return_20d,0.23024222970885813,-0.23024222970885813,logistic,success_2r
dc_spy_return_20d,0.19730507245520784,0.19730507245520784,logistic,success_2r
breakout_range_pts,0.16735191957660134,0.16735191957660134,logistic,success_2r
prior_day_range_pts,0.14965509689231207,0.14965509689231207,logistic,success_2r
breakout_volume_to_or_mean,0.14935165121964097,-0.14935165121964097,logistic,success_2r
dc_vix_change_5d,0.1476789481175256,0.1476789481175256,logistic,success_2r
breakout_volume_to_pre60_mean,0.14390702716608353,0.14390702716608353,logistic,success_2r
atr5_daily_range_pts,0.1392306511361929,-0.1392306511361929,logistic,success_2r
dc_qqq_realized_vol_20d,0.13366771081912526,0.13366771081912526,logistic,success_2r
vwap_slope_or_to_signal_pts,0.12382432696614373,-0.12382432696614373,logistic,success_2r
or_close_dist_to_or_vwap_pts,0.12297094056631878,0.12297094056631878,logistic,success_2r
dc_dxy_return_1d,0.11394314649579076,-0.11394314649579076,logistic,success_2r
signal_close_dist_to_vwap_pts,0.104207502717375,-0.104207502717375,logistic,success_2r
breakout_body_pts,0.10327988262834449,-0.10327988262834449,logistic,success_2r
prior_day_trend_pts,0.10091142453871772,0.10091142453871772,logistic,success_2r
overnight_return_pts,0.1007005710771157,0.1007005710771157,logistic,success_2r
dc_spy_return_5d,0.1000594563201826,0.1000594563201826,logistic,success_2r
pre_60m_return_pts,0.09522900971415017,0.09522900971415017,logistic,success_2r
breakout_close_position,0.09519694125472457,-0.09519694125472457,logistic,success_2r
prior_close_gap_pts,0.08725414792042059,-0.08725414792042059,logistic,success_2r
dc_qqq_minus_spy_return_1d,0.08241697909043164,-0.08241697909043164,logistic,success_2r
dc_qqq_return_5d,0.08068942658482167,0.08068942658482167,logistic,success_2r
breakout_volume,0.07688843408630744,0.07688843408630744,logistic,success_2r
breakout_close_distance_pts,0.06787001196305421,0.06787001196305421,logistic,success_2r
dc_qqq_return_20d,0.06619190590632501,0.06619190590632501,logistic,success_2r
side_distance_to_prior_extreme_pts,0.06218618492809521,0.06218618492809521,logistic,success_2r
dc_qqq_return_1d,0.05812753262278917,-0.05812753262278917,logistic,success_2r
breakout_close_distance_to_orb,0.05604635958427039,-0.05604635958427039,logistic,success_2r
pre_60m_range_pts,0.0455969667455208,-0.0455969667455208,logistic,success_2r
dc_vix_dist_sma20,0.04386156550808598,0.04386156550808598,logistic,success_2r
dc_vix_percentile_60d,0.041273289202498224,0.041273289202498224,logistic,success_2r
dc_spy_return_1d,0.03248957892059659,-0.03248957892059659,logistic,success_2r
dc_dxy_return_5d,0.03228615056735476,-0.03228615056735476,logistic,success_2r
side_distance_to_overnight_extreme_pts,0.03182184999620687,-0.03182184999620687,logistic,success_2r
dc_tnx_change_5d,0.031056694440146856,-0.031056694440146856,logistic,success_2r
dc_qqq_spy_beta_60d,0.029493116385707587,-0.029493116385707587,logistic,success_2r
or_mid_to_prior_close_pts,0.025630334442440093,0.025630334442440093,logistic,success_2r
dc_vix_percentile_20d,0.02478531459260819,0.02478531459260819,logistic,success_2r
breakout_wick_against_pts,0.012671579242439942,-0.012671579242439942,logistic,success_2r
dc_qqq_beta_residual_5d,0.011534551692065971,0.011534551692065971,logistic,success_2r
dc_tnx_change_1d,0.0052517432393779035,-0.0052517432393779035,logistic,success_2r
dc_qqq_minus_spy_return_5d,0.0023021923644740115,-0.0023021923644740115,logistic,success_2r
side_aligned_with_vwap,0.0,0.0,logistic,success_2r
orb_range_to_atr14,547.8727931976318,,lgbm_shallow,success_2r
signal_minutes_from_open,309.9393005371094,,lgbm_shallow,success_2r
signal_close_dist_to_vwap_pts,157.1717987060547,,lgbm_shallow,success_2r
dc_tnx_prev_close,67.68060111999512,,lgbm_shallow,success_2r
