guard_threshold_usd,trades,guard_hits,win_rate,total_pnl_usd,max_dd_usd,profit_factor,avg_pnl_usd,daily_sharpe_annualized,daily_sortino_annualized,best_day_pnl_usd,worst_day_pnl_usd,return_dd,w5d_trades,w5d_pnl_usd,w5d_max_dd_usd,w10d_trades,w10d_pnl_usd,w10d_max_dd_usd,w20d_trades,w20d_pnl_usd,w20d_max_dd_usd,w30d_trades,w30d_pnl_usd,w30d_max_dd_usd,w50d_trades,w50d_pnl_usd,w50d_max_dd_usd,w100d_trades,w100d_pnl_usd,w100d_max_dd_usd,w200d_trades,w200d_pnl_usd,w200d_max_dd_usd
,1296,0,0.5648148148148148,33091.07999999999,-12124.439999999999,1.1175208199325852,25.53324074074073,0.49891670107484826,0.6416633989476888,990.78,-3780.96,2.7292872907944608,1,100.76,0.0,5,895.06,-222.24,10,2347.62,-222.24,18,3460.0,-551.48,30,5385.26,-861.48,54,4035.0599999999995,-4085.1,94,5385.480000000003,-4561.46
1000.0,1296,150,0.5578703703703703,36863.57999999998,-11849.259999999971,1.1356533569767737,28.444120370370356,0.6227529870808455,0.8668564924271984,990.78,-1031.3199999999854,3.111044909133572,1,100.76,0.0,5,895.06,-222.24,10,2347.62,-222.24,18,3008.0,-1003.48,30,4791.26,-1244.3599999999997,54,3615.0599999999995,-3911.1,94,7853.480000000001,-3911.099999999998
1500.0,1296,72,0.5625,27291.07999999991,-10780.299999999988,1.095693231632062,21.057932098765363,0.42648162384216726,0.5605864311917962,990.78,-1531.3200000000109,2.531569622366719,1,100.76,0.0,5,895.06,-222.24,10,2347.62,-222.24,18,3460.0,-551.48,30,4743.26,-1503.48,54,3393.0599999999995,-4085.1,94,6631.480000000001,-4085.0999999999985
2000.0,1296,34,0.5632716049382716,26298.58000000003,-10366.440000000006,1.0917897297173536,20.29211419753089,0.40037812125496586,0.5169138805625366,990.78,-2031.3200000000036,2.5368959835777773,1,100.76,0.0,5,895.06,-222.24,10,2347.62,-222.24,18,3460.0,-551.48,30,5385.26,-861.48,54,4035.0599999999995,-4085.1,94,6841.480000000001,-4085.0999999999985
3000.0,1296,10,0.5648148148148148,31315.579999999987,-12785.020000000004,1.1105183654722952,24.163256172839496,0.46864360979612635,0.5998882672086805,990.78,-3027.84,2.4493962465447825,1,100.76,0.0,5,895.06,-222.24,10,2347.62,-222.24,18,3460.0,-551.48,30,5385.26,-861.48,54,4035.0599999999995,-4085.1,94,5841.480000000003,-4105.46
